city,street,street_number
Toronto,Lane N Yarmouth E Christie,4686
Toronto,Bamford Crescent,9834
Toronto,Lane E Harvie N Rogers,3675
Toronto,Gore Street,8133
Toronto,Cudia Crescent,5967
Toronto,Bluffers Park Road,4992
Toronto,Rex Gate,4281
Toronto,Lane 2 W Peter N Jack Cooper,5862
Toronto,Lane N Rogers E Dufferin,1480
Toronto,Lane S St Clair E Greenlaw,7947
Toronto,Burnview Crescent,4230
Toronto,Lane E George N Glenholme Place,1131
Toronto,Dunmurray Boulevard,3171
Toronto,Lane 1 N Danforth E Main Street,4934
Toronto,Lane N Lindsey W Dufferin,5774
Toronto,Minnowburn Street,666
Toronto,Keele Street,1326
Toronto,The Market Place,5417
Toronto,Fareham Crescent,7331
Toronto,Birkdale Road,3238
Toronto,Roycrest Avenue,9661
Toronto,Brome Road,8674
Toronto,Lane N College E Crawford,7449
Toronto,Wilkes Crescent,1167
Toronto,Armitage Drive,5187
Toronto,Westleigh Crescent,9830
Toronto,Lane N Teignmouth W Harvie,705
Toronto,Inglis Gate,1004
Toronto,Linderwood Drive,3800
Toronto,Lane S Danforth E Kenworthy,994
Toronto,Crocker Avenue,7989
Toronto,Navenby Crescent,9101
Toronto,Ipswich Crescent,8976
Toronto,Bernadine Street,2546
Toronto,Lane S Niagara W Bathurst,3073
Toronto,Prado Court,2383
Toronto,Clumber Road,578
Toronto,Lime Treeway,2132
Toronto,Abbott Avenue,3282
Toronto,Roseglen Crescent,4083
Toronto,Clovelly Avenue,4628
Toronto,Wallsend Drive,8437
Toronto,Jenny Wrenway,5563
Toronto,The Donway East,2626
Toronto,Burmont Road,2838
Toronto,Lane E Carlaw N Harcourt,1195
Toronto,Bolingbroke Road,3526
Toronto,Kenridge Avenue,9742
Toronto,Solstice Drive,547
Toronto,Chantilly Gardens,5732
Toronto,Oakwood Avenue,1867
Toronto,Bayard Avenue,9716
Toronto,Alma Avenue,3516
Toronto,Nortonville Drive,9667
Toronto,Carousel Court,6610
Toronto,Maria Street,6398
Toronto,Warlock Crescent,5434
Toronto,Lane N Wellington E Blue Jays Way,8669
Toronto,Wrenson Road,590
Toronto,Lane W Oakwood S Clovelly,1605
Toronto,Laurel Avenue,8693
Toronto,Ilford Road,1010
Toronto,Cannes Circle,3984
Toronto,Gravenhurst Avenue,1104
Toronto,Spruce Hill Road,6220
Toronto,Lane N Hallam E Delaware,2666
Toronto,Lane N Adelaide E Duncan,448
Toronto,Lane E Sackville Street S Amelia,6523
Toronto,Lane N Bloor W Brentwood,9715
Toronto,Smithfield Drive,2756
Toronto,Lane N Kingston W Harewood,3394
Toronto,Brant Street,1337
Toronto,Edenbridge Drive,7531
Toronto,Lord Seaton Road,3758
Toronto,Reesor Road,163
Toronto,Gordon Park Drive,3934
Toronto,Lane W Dufferin N Bowie,4381
Toronto,Sandwell Drive,2781
Toronto,Druid Court,3613
Toronto,Lane S Eglinton W Westover Hill,4351
Toronto,Lane S Weston W Bellevue,8169
Toronto,Lane W William Hancox S Crossovers,2043
Toronto,Letchworth Crescent,1753
Toronto,Chelmer Gate,9435
Toronto,Feltham Avenue,7628
Toronto,Clairton Crescent,1221
