address_id,city,street,street_number
0,Toronto,Albani Street,1365
1,Ottawa,Hawley Crescent,4678
2,Vancouver,Fir Offramp Street,8615
3,Calgary,Walden Road South-east,8310
4,Montreal,Rue Bressani,119
5,Changchester,Jonathan Pass,6475
6,New Donald,Katelyn River,8924
7,Lake Charlesmouth,Castro Knoll,5938
8,Ramoshaven,Brown Plaza,16097
9,Johnmouth,James Port,32871
10,West Nancyfort,Kevin Highway,185
11,Port Carrie,Wallace Ranch,5934
12,East Lori,Chloe Shoals,7112
13,North Megan,Massey Pine,8339
14,Rileymouth,Keller Squares,1591
15,Matthewsmouth,John Street,1352
16,Ronaldton,Krista Walk,309
17,North Davidborough,Peter Land,9032
18,South Jasonton,Amy River,41314
19,Ryanton,Williams Courts,634
20,Rebeccafort,Heidi Ford,22584
21,New Sandraburgh,Thomas Lodge,845
22,Monroeview,Ann Bridge,1508
23,Dennisfort,Bishop Spring,9924
24,Goodmanland,Brooke Square,2337
25,Pageshire,Johnson Well,960
26,South Caleb,Sean Oval,900
27,Nguyenmouth,Lisa Wells,3812
28,South Stefaniechester,Smith Bridge,89
29,East Davidborough,Ramirez Falls,76104
30,Marshville,Anderson Pike,512
31,Melissaton,Jamie Green,559
32,Port Karafort,Bowman Landing,236
33,Alanberg,Cook Turnpike,1590
34,West Frankshire,Ward Plaza,41730
35,Haydenhaven,Kevin Village,4611
36,Wellsmouth,Timothy Squares,6045
37,East Courtney,Drake Route,11330
38,Smithfurt,West Overpass,361
39,Jeffreyview,Ryan Knolls,10873
40,South Raymondborough,Wendy Union,92137
41,Wardberg,Vanessa Oval,96687
42,Marthafort,Amy Forges,55508
43,Port Jonathan,Megan Prairie,7118
44,North Jeffreyton,Smith Vista,5227
45,Williamhaven,Audrey Springs,916
46,West Amanda,Petersen Orchard,9930
47,Lake Hunterhaven,Cook Park,4666
48,East Danielleberg,Justin Village,76
49,South Pamela,Emily Drive,6097
50,Ellisville,Osborne Brooks,99251
51,Jamesfort,Nicole Ridge,795
52,Lake Jenniferport,Susan Loaf,1830
53,Wallaceborough,Kelly Roads,740
54,East Clayton,Hunter Crescent,69611
55,Brownchester,Jessica Burgs,6607
56,Jenniferland,Jones Knolls,55
57,North Maria,Lori Cliffs,230
58,Lake Emily,Julie Hill,932
59,South Daniel,Zimmerman Green,3557
60,Kennethside,White Common,89426
61,East Linda,Romero Freeway,45602
62,South Christianland,Robert Plaza,2964
63,Christophermouth,Walsh Pines,66065
64,Harrisport,Davis Ferry,41892
65,Hebertburgh,Reynolds Gateway,5825
66,Welchland,Fischer Hill,79703
67,Dannyport,Roger Terrace,1738
68,Ramireztown,Joseph Skyway,4689
69,Wallaceview,Campbell Throughway,391
70,North Lauraport,Wilson Wall,21644
71,New Alexandra,Amanda Loop,864
72,Scottshire,Eric Square,66972
73,Michaelfort,Robinson Overpass,857
74,South Kevinfort,Paige Forge,57608
75,Lake Michellefurt,Michael Crescent,44
76,East Karen,Lee Mews,5625
77,Wongchester,Seth Station,85232
78,Baileyfurt,Roman Loaf,337
79,New Jennifer,Johnson Roads,25023
80,Cheyennehaven,Wise Knoll,7088
81,Carpenterfort,Padilla Forge,4000
82,West Adam,Donald Turnpike,3968
83,South James,Catherine Corner,5875
84,Anthonyton,Miguel Fords,533
85,Emilyport,Black Lights,7530
86,Sarahland,Steven Stream,677
87,Wilsonland,Corey Track,63791
88,Hansenfurt,Susan Gateway,3245
89,Virginiaville,Bishop Turnpike,47897
90,Josephtown,Christina Station,26334
91,Lake Amandachester,David Rue,1953
92,Jeffreybury,April Spring,3574
93,East Lisa,Richardson Roads,26228
94,East Kathyfort,Joe Curve,65992
95,Lesterville,Alicia Knolls,7403
96,Lake Natasha,Payne Squares,42963
97,Kristenfurt,Jason Island,357
98,West Max,Kevin Knolls,802
99,Andrewton,John Bridge,51056
100,East Shane,Michael Fall,566
101,South Patriciaside,Malone Port,66208
102,New Misty,Christopher Freeway,30282
103,South Saraville,Mckinney Ridges,45
104,Toronto,Lane N Yarmouth E Christie,4686
105,Toronto,Bamford Crescent,9834
106,Toronto,Lane E Harvie N Rogers,3675
107,Toronto,Gore Street,8133
108,Toronto,Cudia Crescent,5967
109,Toronto,Bluffers Park Road,4992
110,Toronto,Rex Gate,4281
111,Toronto,Lane 2 W Peter N Jack Cooper,5862
112,Toronto,Lane N Rogers E Dufferin,1480
113,Toronto,Lane S St Clair E Greenlaw,7947
114,Toronto,Burnview Crescent,4230
115,Toronto,Lane E George N Glenholme Place,1131
116,Toronto,Dunmurray Boulevard,3171
117,Toronto,Lane 1 N Danforth E Main Street,4934
118,Toronto,Lane N Lindsey W Dufferin,5774
119,Toronto,Minnowburn Street,666
120,Toronto,Keele Street,1326
121,Toronto,The Market Place,5417
122,Toronto,Fareham Crescent,7331
123,Toronto,Birkdale Road,3238
124,Toronto,Roycrest Avenue,9661
125,Toronto,Brome Road,8674
126,Toronto,Lane N College E Crawford,7449
127,Toronto,Wilkes Crescent,1167
128,Toronto,Armitage Drive,5187
129,Toronto,Westleigh Crescent,9830
130,Toronto,Lane N Teignmouth W Harvie,705
131,Toronto,Inglis Gate,1004
132,Toronto,Linderwood Drive,3800
133,Toronto,Lane S Danforth E Kenworthy,994
134,Toronto,Crocker Avenue,7989
135,Toronto,Navenby Crescent,9101
136,Toronto,Ipswich Crescent,8976
137,Toronto,Bernadine Street,2546
138,Toronto,Lane S Niagara W Bathurst,3073
139,Toronto,Prado Court,2383
140,Toronto,Clumber Road,578
141,Toronto,Lime Treeway,2132
142,Toronto,Abbott Avenue,3282
143,Toronto,Roseglen Crescent,4083
144,Toronto,Clovelly Avenue,4628
145,Toronto,Wallsend Drive,8437
146,Toronto,Jenny Wrenway,5563
147,Toronto,The Donway East,2626
148,Toronto,Burmont Road,2838
149,Toronto,Lane E Carlaw N Harcourt,1195
150,Toronto,Bolingbroke Road,3526
151,Toronto,Kenridge Avenue,9742
152,Toronto,Solstice Drive,547
153,Toronto,Chantilly Gardens,5732
154,Toronto,Oakwood Avenue,1867
155,Toronto,Bayard Avenue,9716
156,Toronto,Alma Avenue,3516
157,Toronto,Nortonville Drive,9667
158,Toronto,Carousel Court,6610
159,Toronto,Maria Street,6398
160,Toronto,Warlock Crescent,5434
161,Toronto,Lane N Wellington E Blue Jays Way,8669
162,Toronto,Wrenson Road,590
163,Toronto,Lane W Oakwood S Clovelly,1605
164,Toronto,Laurel Avenue,8693
165,Toronto,Ilford Road,1010
166,Toronto,Cannes Circle,3984
167,Toronto,Gravenhurst Avenue,1104
168,Toronto,Spruce Hill Road,6220
169,Toronto,Lane N Hallam E Delaware,2666
170,Toronto,Lane N Adelaide E Duncan,448
171,Toronto,Lane E Sackville Street S Amelia,6523
172,Toronto,Lane N Bloor W Brentwood,9715
173,Toronto,Smithfield Drive,2756
174,Toronto,Lane N Kingston W Harewood,3394
175,Toronto,Brant Street,1337
176,Toronto,Edenbridge Drive,7531
177,Toronto,Lord Seaton Road,3758
178,Toronto,Reesor Road,163
179,Toronto,Gordon Park Drive,3934
180,Toronto,Lane W Dufferin N Bowie,4381
181,Toronto,Sandwell Drive,2781
182,Toronto,Druid Court,3613
183,Toronto,Lane S Eglinton W Westover Hill,4351
184,Toronto,Lane S Weston W Bellevue,8169
185,Toronto,Lane W William Hancox S Crossovers,2043
186,Toronto,Letchworth Crescent,1753
187,Toronto,Chelmer Gate,9435
188,Toronto,Feltham Avenue,7628
189,Toronto,Clairton Crescent,1221
190,Toronto,Lambrinos Lane,8994
191,Toronto,Stevenson Road,1100
192,Toronto,Patriarch Bartholomew Way,7141
193,Toronto,Lane E Pape S Mortimer,6230
194,Toronto,Goldsboro Road,6086
195,Toronto,Lane S Gerrard E Rhodes,4481
196,Toronto,Urban Court,6507
197,Toronto,Lane S Bloor W Grace,7436
198,Toronto,Eli Shackleton Court,5557
199,Toronto,Bayview N Lawrence Ramp,3166
200,Toronto,Wilgar Road,4114
201,Toronto,Dunfield Avenue,6665
202,Toronto,Saintfield Avenue,6226
203,Ottawa,Keyrock Drive,7629
204,Ottawa,Thomas Argue Road,5264
205,Ottawa,Esterlawn Private,449
206,Ottawa,Cuba Avenue,9986
207,Ottawa,Delmar Drive,789
208,Ottawa,Jacqueline Crescent,7980
209,Ottawa,Montrose Avenue,8468
210,Ottawa,Oakland Avenue,7931
211,Ottawa,Steen Lane,4824
212,Ottawa,Fanterra Way,2301
213,Ottawa,Corvus Court,1924
214,Ottawa,Camelot Drive,7693
215,Ottawa,Rideau Road,8008
216,Ottawa,Lancer Avenue,3107
217,Ottawa,Gregg Street,3416
218,Ottawa,Laurel Valley Court,8898
219,Ottawa,Marco Lane,2101
220,Ottawa,Fountainhead Drive,5698
221,Ottawa,Primrose Avenue,542
222,Ottawa,Regency Terrace,6674
223,Ottawa,Trojan Avenue,7372
224,Ottawa,Deakin Street,4944
225,Ottawa,Vistapark Drive,5171
226,Ottawa,Wexford Way,375
227,Ottawa,Varley Drive,5633
228,Ottawa,Farwel Street,8950
229,Ottawa,Chesswood Court,9035
230,Ottawa,Vistapointe Drive,9205
231,Ottawa,Coleridge Street,5275
232,Ottawa,Irish Rose Crescent,8927
233,Ottawa,Reddick Lane,7293
234,Ottawa,Bantree Street,3300
235,Ottawa,Westbrook Road,9031
236,Ottawa,Mcelroy Drive,2502
237,Ottawa,Dupuis Street,8218
238,Ottawa,Conover Street,7325
239,Ottawa,Riocan Avenue,9885
240,Ottawa,Bradwell Way,210
241,Ottawa,Whitechapel Crescent,1757
242,Ottawa,Samuel Mann Avenue,1179
243,Ottawa,Falls Drive,8208
244,Ottawa,Tischart Crescent,681
245,Ottawa,Dorchester Avenue,2079
246,Ottawa,South Island Park Drive,7660
247,Ottawa,Quinn Road,774
248,Ottawa,Len Lunney Crescent,4863
249,Ottawa,Lady Slipper Way,2170
250,Ottawa,Shore Street,5279
251,Ottawa,Lynwood Park Private,761
252,Ottawa,Lafontaine Avenue,1530
253,Ottawa,Bluemeadow Way,4314
254,Ottawa,Barran Street,3174
255,Ottawa,Legrand Crescent,355
256,Ottawa,Airport Parkway Private,7252
257,Ottawa,Goulbourn Street,7635
258,Ottawa,Dunston Terrace,4038
259,Ottawa,North Service Road,3378
260,Ottawa,Hurley Crescent,2184
261,Ottawa,Blackleaf Drive,4789
262,Ottawa,Enterprise Avenue,6247
263,Ottawa,Meandering Brook Drive,4418
264,Ottawa,Gordon Street,8554
265,Ottawa,Deer Moss Trail,5891
266,Ottawa,Allanford Avenue,9061
267,Ottawa,Tandalee Crescent,1890
268,Ottawa,Rideau Bend Crescent,8195
269,Ottawa,Stonehedge Park,9833
270,Ottawa,Range Road,1272
271,Ottawa,Graphite Road,9301
272,Ottawa,Belcourt Boulevard,7260
273,Ottawa,West River Drive,4300
274,Ottawa,Ballyhaise Street,247
275,Ottawa,Wren Street,8316
276,Ottawa,Breezehill Avenue North,6821
277,Ottawa,Jay Avenue,347
278,Ottawa,Middleton Drive,8506
279,Ottawa,Goldfinch Drive,4143
280,Ottawa,Thomas More Private,7330
281,Ottawa,Gable Private,7797
282,Ottawa,Chesterbrook Street,9553
283,Ottawa,Woodway Avenue,1288
284,Ottawa,Gilchrist Avenue,713
285,Ottawa,Muirland Avenue,7469
286,Ottawa,Cedardown Private,9516
287,Ottawa,Sherway Drive,9310
288,Ottawa,Elsie Street,8057
289,Ottawa,Elmira Drive,5925
290,Ottawa,Burnbank Street,1688
291,Ottawa,Lyndale Avenue,5075
292,Ottawa,Kolo Drive,7395
293,Ottawa,Catalina Drive,8368
294,Ottawa,Macnabb Place,3125
295,Ottawa,Laurelwood Place,7403
