id,birthdate,join_date,retire_date,position,facility_id,age
1,1979-11-19,2022-01-23,,cleaner,1.0,42
2,1978-02-19,2020-12-07,,cleaner,1.0,44
3,1980-06-01,2021-05-16,,cleaner,1.0,41
4,1971-01-25,2020-01-09,,cleaner,1.0,51
5,1997-04-12,2019-07-15,,cleaner,1.0,25
6,1997-10-28,2021-08-17,,cleaner,1.0,24
7,1985-09-15,2020-02-18,,cleaner,1.0,36
8,1994-04-12,2022-01-24,,cleaner,1.0,28
9,1995-09-04,2019-12-13,,director,1.0,26
10,1975-07-06,2020-05-21,,manager,1.0,46
11,1995-08-09,2019-08-28,,manager,1.0,26
12,1980-09-29,2022-05-06,,manager,1.0,41
13,1983-08-19,2022-01-01,,manager,1.0,38
14,1991-11-19,2019-12-04,,manager,1.0,30
15,1983-03-16,2020-06-18,,manager,1.0,39
16,1974-06-22,2019-12-10,,manager,1.0,47
17,1977-06-04,2021-12-04,,medic,1.0,44
18,1973-05-27,2021-09-20,,medic,1.0,49
19,1968-11-28,2020-03-25,,psychologist,1.0,53
20,1980-11-11,2021-10-28,,accountant,1.0,41
21,1983-03-30,2021-08-27,,coach,1.0,39
22,1976-10-01,2020-09-05,,coach,1.0,45
23,1967-12-24,2022-05-23,,coach,1.0,54
24,1978-04-29,2021-01-22,,coach,1.0,44
25,1972-03-07,2021-12-07,,cleaner,2.0,50
26,1984-02-16,2020-02-04,,cleaner,2.0,38
27,2003-11-11,2021-11-22,,cleaner,2.0,18
28,1971-06-02,2022-05-14,,cleaner,2.0,50
29,1971-08-17,2020-10-03,,cleaner,2.0,50
30,1957-06-15,2020-09-12,,director,2.0,64
31,1988-07-11,2019-12-26,,manager,2.0,33
32,1962-09-17,2020-09-25,,manager,2.0,59
33,1977-02-05,2020-03-27,,manager,2.0,45
34,1990-04-30,2020-02-09,,manager,2.0,32
35,1975-11-15,2021-01-24,,manager,2.0,46
36,1966-10-15,2020-03-02,,manager,2.0,55
37,1989-01-05,2022-01-18,,manager,2.0,33
38,1994-01-14,2021-08-04,,manager,2.0,28
39,1978-07-01,2021-01-05,,manager,2.0,43
40,1970-07-17,2021-03-21,,manager,2.0,51
41,1958-10-29,2020-10-26,,medic,2.0,63
42,1995-05-20,2021-05-26,,medic,2.0,27
43,1968-02-09,2019-06-11,,medic,2.0,54
44,1977-06-10,2021-06-09,,psychologist,2.0,44
45,1969-11-09,2022-02-22,,accountant,2.0,52
46,1959-03-23,2021-02-09,,accountant,2.0,63
47,1997-11-20,2020-02-01,,coach,2.0,24
48,1976-07-28,2021-07-27,,coach,2.0,45
49,1996-03-10,2020-09-17,,coach,2.0,26
50,1986-09-18,2020-03-19,,coach,2.0,35
51,1976-10-08,2019-11-28,,coach,2.0,45
52,1993-07-30,2021-12-24,,cleaner,3.0,28
