birthdate,age,category,facility_id,join_date,retire_date,team_name,gender
2009-08-18,12,junior,1.0,2021-05-09,,Toronto Rockets,M
2004-12-02,17,junior,1.0,2021-11-08,,Toronto Rockets,M
2007-02-07,15,junior,1.0,2021-08-20,,Toronto Rockets,M
2003-09-29,18,junior,1.0,2022-05-10,,Toronto Rockets,M
2008-12-23,13,junior,1.0,2019-08-16,,Toronto Rockets,M
2003-12-19,18,junior,1.0,2022-02-22,,Toronto Rockets,M
2014-08-23,7,junior,1.0,2022-02-12,,Toronto Rockets,M
2009-09-18,12,junior,1.0,2020-04-16,,Toronto Olympics,F
2010-07-22,11,junior,1.0,2021-03-10,,Toronto Olympics,F
2015-02-24,7,junior,1.0,2022-02-24,,Toronto Olympics,F
2013-05-05,9,junior,1.0,2021-11-19,,Toronto Olympics,M
2009-03-17,13,junior,1.0,2019-11-25,,Toronto Olympics,M
2007-07-05,14,junior,1.0,2022-02-15,,Toronto Olympics,F
2012-11-28,9,junior,1.0,2021-11-26,,Toronto Olympics,F
2011-07-11,10,junior,1.0,2020-06-26,,Cold Islanders,F
2010-02-06,12,junior,1.0,2020-08-24,,Cold Islanders,F
2006-09-14,15,junior,1.0,2020-01-14,,Cold Islanders,F
2010-10-09,11,junior,1.0,2021-01-02,,Cold Islanders,F
2009-07-22,12,junior,1.0,2021-08-06,,Cold Islanders,F
2007-06-07,14,junior,1.0,2020-03-04,,Cold Islanders,F
2006-04-05,16,junior,2.0,2021-10-25,,Montreal Braves,M
2004-08-06,17,junior,2.0,2020-03-11,,Montreal Braves,M
2012-01-06,10,junior,2.0,2020-05-16,,Montreal Braves,M
2011-07-03,10,junior,2.0,2021-01-31,,Montreal Braves,M
2002-05-09,20,junior,2.0,2019-11-28,,Montreal Braves,M
2013-01-27,9,junior,2.0,2022-05-01,,Montreal Braves,M
2002-05-31,19,junior,2.0,2021-12-29,,Montreal Vipers,M
2006-11-04,15,junior,2.0,2019-08-11,,Montreal Vipers,M
2007-04-05,15,junior,2.0,2022-03-11,,Montreal Vipers,M
2004-09-24,17,junior,2.0,2020-10-05,,Montreal Vipers,M
2003-12-28,18,junior,2.0,2021-11-15,,Montreal Vipers,M
2014-12-02,7,junior,2.0,2021-12-25,,Montreal Vipers,M
2001-11-23,20,junior,2.0,2022-03-07,,Montreal Vipers,M
2002-07-31,19,junior,2.0,2020-02-27,,Montreal Vipers,M
2004-11-04,17,junior,2.0,2020-03-27,,Super Salsa,M
2002-03-27,20,junior,2.0,2019-12-18,,Super Salsa,F
2011-03-30,11,junior,2.0,2020-02-25,,Super Salsa,M
2004-10-26,17,junior,2.0,2019-08-25,,Super Salsa,M
2012-08-23,9,junior,2.0,2021-04-08,,Super Salsa,M
2008-07-11,13,junior,2.0,2020-05-30,,Super Salsa,M
2013-06-14,8,junior,2.0,2021-08-17,,Super Salsa,M
2009-05-08,13,junior,2.0,2022-01-27,,Super Salsa,F
2014-04-14,8,junior,2.0,2021-07-27,,Ice Unicorns,F
2009-06-10,12,junior,2.0,2022-02-13,,Ice Unicorns,F
