id,birthdate,age,category,facility_id
1,2009-08-18,12,junior,1.0
2,2004-12-02,17,junior,1.0
3,2007-02-07,15,junior,1.0
4,2003-09-29,18,junior,1.0
5,2008-12-23,13,junior,1.0
6,2003-12-19,18,junior,1.0
7,2014-08-23,7,junior,1.0
8,2009-09-18,12,junior,1.0
9,2010-07-22,11,junior,1.0
10,2015-02-24,7,junior,1.0
11,2013-05-05,9,junior,1.0
12,2009-03-17,13,junior,1.0
13,2007-07-05,14,junior,1.0
14,2012-11-28,9,junior,1.0
15,2011-07-11,10,junior,1.0
16,2010-02-06,12,junior,1.0
17,2006-09-14,15,junior,1.0
18,2010-10-09,11,junior,1.0
19,2009-07-22,12,junior,1.0
20,2007-06-07,14,junior,1.0
21,2006-04-05,16,junior,2.0
22,2004-08-06,17,junior,2.0
23,2012-01-06,10,junior,2.0
24,2011-07-03,10,junior,2.0
25,2002-05-09,20,junior,2.0
26,2013-01-27,9,junior,2.0
27,2002-05-31,19,junior,2.0
28,2006-11-04,15,junior,2.0
29,2007-04-05,15,junior,2.0
30,2004-09-24,17,junior,2.0
31,2003-12-28,18,junior,2.0
32,2014-12-02,7,junior,2.0
33,2001-11-23,20,junior,2.0
34,2002-07-31,19,junior,2.0
35,2004-11-04,17,junior,2.0
36,2002-03-27,20,junior,2.0
37,2011-03-30,11,junior,2.0
38,2004-10-26,17,junior,2.0
39,2012-08-23,9,junior,2.0
40,2008-07-11,13,junior,2.0
41,2013-06-14,8,junior,2.0
42,2009-05-08,13,junior,2.0
43,2014-04-14,8,junior,2.0
44,2009-06-10,12,junior,2.0
45,2013-06-18,8,junior,2.0
46,2003-11-12,18,junior,2.0
47,2004-03-31,18,junior,2.0
48,2006-06-28,15,junior,2.0
49,2006-01-18,16,junior,2.0
50,2003-12-16,18,junior,2.0
51,2005-12-04,16,junior,2.0
52,2004-01-13,18,junior,2.0
53,2010-09-11,11,junior,2.0
54,2011-05-13,11,junior,2.0
55,2011-08-13,10,junior,2.0
56,2006-02-26,16,junior,2.0
57,2013-09-22,8,junior,2.0
58,2006-06-30,15,junior,2.0
59,2002-09-28,19,junior,2.0
60,2006-04-18,16,junior,2.0
61,2007-12-02,14,junior,2.0
62,2014-08-17,7,junior,2.0
63,2009-08-18,12,junior,3.0
64,2008-08-08,13,junior,3.0
65,2002-12-19,19,junior,3.0
66,2006-09-16,15,junior,3.0
67,2013-02-27,9,junior,3.0
68,2008-05-28,14,junior,3.0
69,2002-11-12,19,junior,3.0
70,2006-09-10,15,junior,3.0
71,2014-05-07,8,junior,3.0
72,2006-06-02,15,junior,3.0
73,2005-04-15,17,junior,3.0
74,2011-12-17,10,junior,3.0
75,2005-05-19,17,junior,3.0
76,2002-07-02,19,junior,3.0
77,2004-06-26,17,junior,3.0
78,2003-07-21,18,junior,3.0
79,2007-05-01,15,junior,3.0
80,2004-02-23,18,junior,4.0
81,2012-06-19,9,junior,4.0
82,2011-04-06,11,junior,4.0
83,2015-05-10,7,junior,4.0
84,2012-09-28,9,junior,4.0
85,2004-01-13,18,junior,4.0
86,2015-01-08,7,junior,4.0
87,2004-08-15,17,junior,4.0
88,2007-02-16,15,junior,4.0
89,2014-04-12,8,junior,4.0
90,2004-02-14,18,junior,4.0
91,2008-08-07,13,junior,4.0
92,2012-02-16,10,junior,4.0
93,2010-12-18,11,junior,4.0
94,2004-10-29,17,junior,4.0
95,2005-08-27,16,junior,4.0
96,2002-03-11,20,junior,4.0
97,2003-04-01,19,junior,4.0
98,2015-04-27,7,junior,4.0
99,2004-12-27,17,junior,4.0
100,2014-02-17,8,junior,4.0
101,2006-01-13,16,junior,4.0
102,2002-03-04,20,junior,4.0
103,2004-02-27,18,junior,4.0
104,2001-10-08,20,junior,4.0
105,2012-10-03,9,junior,4.0
106,2003-07-10,18,junior,4.0
107,2005-08-18,16,junior,4.0
108,2012-03-09,10,junior,4.0
109,2008-05-22,14,junior,4.0
110,2011-03-10,11,junior,4.0
111,2008-01-16,14,junior,4.0
112,2004-04-04,18,junior,4.0
113,2013-07-23,8,junior,5.0
114,2002-06-01,19,junior,5.0
115,2011-06-29,10,junior,5.0
116,2004-03-16,18,junior,5.0
117,2004-11-27,17,junior,5.0
118,2004-05-10,18,junior,5.0
119,2014-05-28,8,junior,5.0
120,2010-09-02,11,junior,5.0
121,2009-04-18,13,junior,5.0
122,2006-05-07,16,junior,5.0
123,2009-11-05,12,junior,5.0
124,2009-07-20,12,junior,5.0
125,2005-04-15,17,junior,5.0
126,2006-02-18,16,junior,5.0
127,2015-01-14,7,junior,5.0
128,2009-01-29,13,junior,5.0
129,2010-01-31,12,junior,5.0
130,2008-01-28,14,junior,5.0
131,2002-06-02,19,junior,5.0
132,2004-09-06,17,junior,5.0
133,2006-08-15,15,junior,5.0
134,2013-02-28,9,junior,5.0
135,2013-12-05,8,junior,5.0
136,2010-08-10,11,junior,5.0
137,2006-07-21,15,junior,5.0
138,2002-07-19,19,junior,5.0
139,2009-01-01,13,junior,5.0
140,2004-10-23,17,junior,5.0
141,2002-02-24,20,junior,5.0
142,2007-04-29,15,junior,5.0
143,2003-01-04,19,junior,5.0
144,2014-10-16,7,junior,5.0
145,2014-09-05,7,junior,5.0
146,2014-07-08,7,junior,5.0
147,2012-11-30,9,junior,5.0
148,2006-05-24,16,junior,5.0
149,2015-02-22,7,junior,5.0
150,1986-02-20,36,adult,1.0
151,1990-07-15,31,adult,1.0
152,1981-10-04,40,adult,1.0
153,1981-11-27,40,adult,1.0
154,1986-04-07,36,adult,1.0
155,1987-09-26,34,adult,1.0
156,1990-04-09,32,adult,1.0
157,1994-08-20,27,adult,1.0
158,1988-01-03,34,adult,1.0
159,1976-10-14,45,adult,1.0
160,1996-05-10,26,adult,1.0
161,1981-05-01,41,adult,1.0
162,1982-08-30,39,adult,1.0
163,1995-03-30,27,adult,1.0
164,1986-09-07,35,adult,1.0
165,1985-10-23,36,adult,1.0
166,1998-06-15,23,adult,1.0
167,1982-10-18,39,adult,1.0
168,1995-09-02,26,adult,1.0
169,1999-10-30,22,adult,1.0
170,1983-04-29,39,adult,1.0
171,1989-01-23,33,adult,1.0
172,1989-11-01,32,adult,1.0
173,1972-09-16,49,adult,1.0
174,1973-06-11,48,adult,1.0
175,1981-09-21,40,adult,1.0
176,1978-02-03,44,adult,2.0
177,1996-06-11,25,adult,2.0
178,1974-03-25,48,adult,2.0
179,1974-07-19,47,adult,2.0
180,1974-10-26,47,adult,2.0
181,1983-09-07,38,adult,2.0
182,1995-04-29,27,adult,2.0
183,1984-09-07,37,adult,2.0
184,1980-02-28,42,adult,2.0
185,1985-02-24,37,adult,2.0
186,1983-03-29,39,adult,2.0
187,1991-03-14,31,adult,2.0
188,1980-01-19,42,adult,2.0
189,1995-10-31,26,adult,2.0
190,1974-12-11,47,adult,2.0
191,1978-08-04,43,adult,2.0
192,1981-02-17,41,adult,2.0
193,1991-12-10,30,adult,2.0
194,1975-04-07,47,adult,2.0
195,1975-12-31,46,adult,2.0
196,1974-05-16,48,adult,2.0
197,1987-12-23,34,adult,2.0
198,1995-06-22,26,adult,2.0
199,1975-12-30,46,adult,3.0
200,1993-01-03,29,adult,3.0
201,1979-09-01,42,adult,3.0
202,1980-04-15,42,adult,3.0
203,1992-10-24,29,adult,3.0
204,1995-02-15,27,adult,3.0
205,1979-08-26,42,adult,3.0
206,1977-04-24,45,adult,3.0
207,1982-02-10,40,adult,3.0
208,1986-05-29,36,adult,3.0
209,1972-12-30,49,adult,3.0
210,1976-05-01,46,adult,3.0
211,1973-11-09,48,adult,3.0
212,1975-10-12,46,adult,3.0
213,1999-10-08,22,adult,3.0
214,1986-08-07,35,adult,3.0
215,1979-08-11,42,adult,3.0
216,1996-01-13,26,adult,3.0
217,1978-01-15,44,adult,3.0
218,1989-08-01,32,adult,3.0
219,1974-06-05,47,adult,3.0
220,1999-05-23,23,adult,3.0
221,1973-10-27,48,adult,3.0
222,1976-05-03,46,adult,3.0
223,1992-11-24,29,adult,3.0
224,1994-11-23,27,adult,3.0
225,1993-05-31,28,adult,3.0
226,1973-12-27,48,adult,3.0
227,1986-05-16,36,adult,3.0
228,1980-09-18,41,adult,3.0
229,1974-11-18,47,adult,3.0
230,1973-09-10,48,adult,3.0
231,1996-05-13,26,adult,3.0
232,1994-03-02,28,adult,3.0
233,1972-08-06,49,adult,3.0
234,1981-12-03,40,adult,3.0
235,1976-07-10,45,adult,4.0
236,1986-01-17,36,adult,4.0
237,1982-11-03,39,adult,4.0
238,1990-07-11,31,adult,4.0
239,1984-06-05,37,adult,4.0
240,1987-07-05,34,adult,4.0
241,1987-05-24,35,adult,4.0
242,1984-05-23,38,adult,4.0
243,1979-11-19,42,adult,4.0
244,1974-04-03,48,adult,4.0
245,1984-11-07,37,adult,4.0
246,1987-08-29,34,adult,4.0
247,1979-05-18,43,adult,4.0
248,1989-07-27,32,adult,4.0
249,1976-10-11,45,adult,4.0
250,1987-01-18,35,adult,4.0
251,1992-07-14,29,adult,4.0
252,1987-08-08,34,adult,4.0
253,1975-07-18,46,adult,5.0
254,1988-08-15,33,adult,5.0
255,1989-08-14,32,adult,5.0
256,1996-01-12,26,adult,5.0
257,1994-11-19,27,adult,5.0
258,1984-10-19,37,adult,5.0
259,1993-05-22,29,adult,5.0
260,1996-12-22,25,adult,5.0
261,1998-03-19,24,adult,5.0
262,1972-06-17,49,adult,5.0
263,1997-08-05,24,adult,5.0
264,1991-01-19,31,adult,5.0
265,1988-09-22,33,adult,5.0
266,1993-12-05,28,adult,5.0
267,1973-12-12,48,adult,5.0
