,team_name,facility_id,category,num_of_players,city,street,street_number,ranking
0,Prince Albert Marrs,,junior men,,Williamhaven,Audrey Springs,916.0,42
1,Thetford Mines Blizzard,,junior men,,Jenniferland,Jones Knolls,55.0,41
2,Edmonton Maple Predators,,junior men,,Dannyport,Roger Terrace,1738.0,97
3,Montreal Vipers,2.0,junior men,8.0,Montreal,Rue Bressani,119.0,74
4,Montreal Braves,2.0,junior men,6.0,Montreal,Rue Bressani,119.0,93
5,Niagara Falls Filons,,junior men,,Hansenfurt,Susan Gateway,3245.0,76
6,Pembroke Lumber Bears,,junior men,,New Jennifer,Johnson Roads,25023.0,99
7,Port Hope Islanders,,junior men,,Changchester,Jonathan Pass,6475.0,29
8,Super Lords,5.0,junior men,6.0,Vancouver,Fir Offramp Street,8615.0,14
9,Rosemont Bears,,junior men,,Ryanton,Williams Courts,634.0,20
10,Ste. Agathe Flyers,,junior men,,Monroeview,Ann Bridge,1508.0,82
11,Toronto Rockets,1.0,junior men,7.0,Toronto,Albani Street,1365.0,17
12,Thunder Bay Patriots,,junior men,,South Daniel,Zimmerman Green,3557.0,28
13,Aurora Canadians,,junior men,,West Max,Kevin Knolls,802.0,74
14,Cape Breton Spartans,,junior men,,South Patriciaside,Malone Port,66208.0,54
15,Broom Hawks,5.0,junior men,8.0,Vancouver,Fir Offramp Street,8615.0,86
16,Curlers Terriers,5.0,junior men,5.0,Vancouver,Fir Offramp Street,8615.0,71
17,Penticton Chiefs,,junior men,,Port Carrie,Wallace Ranch,5934.0,35
18,Williams Lake Vulcans,,junior mixed,,Port Karafort,Bowman Landing,236.0,58
19,New Waterford Pack,,junior mixed,,North Maria,Lori Cliffs,230.0,29
20,Stone Timberwolves,5.0,junior mixed,8.0,Vancouver,Fir Offramp Street,8615.0,94
21,Cape Breton Lumberjacks,,junior mixed,,New Donald,Katelyn River,8924.0,71
22,Ajax Sports,,junior mixed,,Ellisville,Osborne Brooks,99251.0,27
23,Peterborough Bearcats,,junior mixed,,Ramoshaven,Brown Plaza,16097.0,45
24,Saskatoon Rams,,junior mixed,,East Clayton,Hunter Crescent,69611.0,84
25,Battleford Greys,,junior mixed,,Rileymouth,Keller Squares,1591.0,93
26,North Sydney Spitfires,,junior mixed,,South Pamela,Emily Drive,6097.0,46
