team_name,category,city,street,street_number
Port Hope Islanders,junior men,Changchester,Jonathan Pass,6475.0
Cape Breton Lumberjacks,junior mixed,New Donald,Katelyn River,8924.0
Southeast Nationals,junior mixed,Lake Charlesmouth,Castro Knoll,5938.0
Peterborough Bearcats,junior mixed,Ramoshaven,Brown Plaza,16097.0
Trail Smoke Remparts,mixed,Johnmouth,James Port,32871.0
Melfort Bruins,men,West Nancyfort,Kevin Highway,185.0
Penticton Chiefs,junior men,Port Carrie,Wallace Ranch,5934.0
Kanata Valley Vipers,women,East Lori,Chloe Shoals,7112.0
Halifax Team Leafs,women,North Megan,Massey Pine,8339.0
Battleford Greys,junior mixed,Rileymouth,Keller Squares,1591.0
Elliot Lake Wings,women,Matthewsmouth,John Street,1352.0
Bancroft Waxers,women,Ronaldton,Krista Walk,309.0
Brandon Warriors,junior mixed,North Davidborough,Peter Land,9032.0
Mississauga Cougars,junior women,South Jasonton,Amy River,41314.0
Rosemont Bears,junior men,Ryanton,Williams Courts,634.0
Dartmouth Oland Thunderbirds,women,Rebeccafort,Heidi Ford,22584.0
Victoria Thunder,men,New Sandraburgh,Thomas Lodge,845.0
Ste. Agathe Flyers,junior men,Monroeview,Ann Bridge,1508.0
Laval Rousseau 77's,junior women,Dennisfort,Bishop Spring,9924.0
Sidney Terriers,junior mixed,Goodmanland,Brooke Square,2337.0
Chateauguay Canucks,men,Pageshire,Johnson Well,960.0
Wexford Beehives,junior mixed,South Caleb,Sean Oval,900.0
Burlington Stampeders,mixed,Nguyenmouth,Lisa Wells,3812.0
Thunder Bay Thunder,women,South Stefaniechester,Smith Bridge,89.0
Richmond Hill Mets,mixed,East Davidborough,Ramirez Falls,76104.0
Peterborough Jr. Patriots,women,Marshville,Anderson Pike,512.0
Thunder Bay Dogs,men,Melissaton,Jamie Green,559.0
Williams Lake Vulcans,junior mixed,Port Karafort,Bowman Landing,236.0
Iron Range Penguins,mixed,Alanberg,Cook Turnpike,1590.0
Markham Rebels,junior women,West Frankshire,Ward Plaza,41730.0
Sidney Eagles,men,Haydenhaven,Kevin Village,4611.0
Thunder Bay Eaters,junior women,Wellsmouth,Timothy Squares,6045.0
Halifax Oland Vikings,mixed,East Courtney,Drake Route,11330.0
Espanola Screaming Crystals,junior mixed,Smithfurt,West Overpass,361.0
Charlottetown Schooners,mixed,Jeffreyview,Ryan Knolls,10873.0
Kindersley Warriors,women,South Raymondborough,Wendy Union,92137.0
Dartmouth Crunch,junior women,Wardberg,Vanessa Oval,96687.0
Vancouver Jr. Terriers,men,Marthafort,Amy Forges,55508.0
Temiscaming Hawks,junior women,Port Jonathan,Megan Prairie,7118.0
Thunder Bay Panthers,junior mixed,North Jeffreyton,Smith Vista,5227.0
Prince Albert Marrs,junior men,Williamhaven,Audrey Springs,916.0
Steinbach Oilers,men,West Amanda,Petersen Orchard,9930.0
Halifax Flames,women,Lake Hunterhaven,Cook Park,4666.0
Halifax A's,women,East Danielleberg,Justin Village,76.0
North Sydney Spitfires,junior mixed,South Pamela,Emily Drive,6097.0
Ajax Sports,junior mixed,Ellisville,Osborne Brooks,99251.0
Richmond Hill Tondas,women,Jamesfort,Nicole Ridge,795.0
Ottawa Crunch,junior women,Lake Jenniferport,Susan Loaf,1830.0
Toronto 73's,junior women,Wallaceborough,Kelly Roads,740.0
Saskatoon Rams,junior mixed,East Clayton,Hunter Crescent,69611.0
Markham Rockets,mixed,Brownchester,Jessica Burgs,6607.0
Thetford Mines Blizzard,junior men,Jenniferland,Jones Knolls,55.0
New Waterford Pack,junior mixed,North Maria,Lori Cliffs,230.0
Canmore Rats,men,Lake Emily,Julie Hill,932.0
Thunder Bay Patriots,junior men,South Daniel,Zimmerman Green,3557.0
Villanova Terriers,junior women,Kennethside,White Common,89426.0
Pierrefonds Canadians,women,East Linda,Romero Freeway,45602.0
Hamilton Tigers,junior women,South Christianland,Robert Plaza,2964.0
Moncton Legionaires,men,Christophermouth,Walsh Pines,66065.0
Vancouver Canadiens,junior women,Harrisport,Davis Ferry,41892.0
Winnipeg Beehives,junior mixed,Hebertburgh,Reynolds Gateway,5825.0
Vancouver Flyers,junior women,Welchland,Fischer Hill,79703.0
Edmonton Maple Predators,junior men,Dannyport,Roger Terrace,1738.0
Vernon Crystals,junior women,Ramireztown,Joseph Skyway,4689.0
Sudbury Jets,men,Wallaceview,Campbell Throughway,391.0
Calgary Marauders,mixed,North Lauraport,Wilson Wall,21644.0
Thornhill Caribous,women,New Alexandra,Amanda Loop,864.0
Yorkton Indians,men,Scottshire,Eric Square,66972.0
Thunder Bay Flames,mixed,Michaelfort,Robinson Overpass,857.0
Port-aux-Basques Buccaneers,junior mixed,South Kevinfort,Paige Forge,57608.0
New Westminster Thunder,mixed,Lake Michellefurt,Michael Crescent,44.0
Whitby Lakers,men,East Karen,Lee Mews,5625.0
Lanark Festivals,junior mixed,Wongchester,Seth Station,85232.0
Halifax Oland Centennials,junior mixed,Baileyfurt,Roman Loaf,337.0
Pembroke Lumber Bears,junior men,New Jennifer,Johnson Roads,25023.0
Thunder Bay Thunderbirds,women,Cheyennehaven,Wise Knoll,7088.0
Brockville Spirit,mixed,Carpenterfort,Padilla Forge,4000.0
Oswego Cougars,junior mixed,West Adam,Donald Turnpike,3968.0
North York Capitals,junior women,South James,Catherine Corner,5875.0
Windsor Royals,men,Anthonyton,Miguel Fords,533.0
Sherwood Park Grads,junior mixed,Emilyport,Black Lights,7530.0
Cape Breton Rustlers,junior women,Sarahland,Steven Stream,677.0
South Surrey Canadians,junior women,Wilsonland,Corey Track,63791.0
Niagara Falls Filons,junior men,Hansenfurt,Susan Gateway,3245.0
Williams Lake Warriors,junior mixed,Virginiaville,Bishop Turnpike,47897.0
Langley Hawks,junior mixed,Josephtown,Christina Station,26334.0
La Salle Eagles,junior women,Lake Amandachester,David Rue,1953.0
Toronto Wild,women,Jeffreybury,April Spring,3574.0
Humboldt Vipers,mixed,East Lisa,Richardson Roads,26228.0
Aurora Chiefs,junior women,East Kathyfort,Joe Curve,65992.0
Fort Garry Eagles,mixed,Lesterville,Alicia Knolls,7403.0
Vernon Bears,junior mixed,Lake Natasha,Payne Squares,42963.0
Pembroke Lumber Express,women,Kristenfurt,Jason Island,357.0
Aurora Canadians,junior men,West Max,Kevin Knolls,802.0
Bellingham Travelways,men,Andrewton,John Bridge,51056.0
Chilliwack Metros,mixed,East Shane,Michael Fall,566.0
Cape Breton Spartans,junior men,South Patriciaside,Malone Port,66208.0
Nickel Centre Terriers,men,New Misty,Christopher Freeway,30282.0
Riverview Elites,junior women,South Saraville,Mckinney Ridges,45.0
