id,birthdate,join_date,retire_date,position,facility_id,age
1,1994-10-30,2021-12-16,2022-05-23,coach,4.0,27
2,1993-04-23,2020-11-05,2021-06-19,manager,2.0,29
3,1965-04-10,2021-03-08,2022-04-10,accountant,4.0,57
4,1958-10-30,2020-01-15,2020-04-09,manager,1.0,63
5,1978-12-24,2019-11-14,2020-01-01,manager,2.0,43
6,1961-10-11,2019-11-07,2020-07-07,manager,4.0,60
7,1962-08-27,2021-01-08,2022-03-18,manager,4.0,59
8,1969-11-20,2020-08-23,2020-10-20,psychologist,3.0,52
9,1973-09-22,2021-06-21,2021-08-25,cleaner,3.0,48
10,1968-06-24,2020-12-14,2021-04-22,cleaner,4.0,53
11,1980-02-02,2019-09-20,2021-06-26,cleaner,2.0,42
12,1986-12-03,2020-08-06,2022-03-17,psychologist,4.0,35
13,1988-01-09,2021-01-10,2021-04-24,manager,1.0,34
14,1989-02-01,2019-12-04,2022-05-11,psychologist,5.0,33
15,1996-12-20,2021-06-08,2021-10-19,cleaner,1.0,25
16,1995-12-13,2020-05-16,2022-03-08,coach,2.0,26
17,1968-07-18,2020-07-16,2021-05-09,coach,3.0,53
18,1982-03-14,2021-07-06,2022-05-30,cleaner,5.0,40
19,1988-10-02,2022-02-13,2022-02-27,psychologist,2.0,33
20,1989-10-12,2020-03-19,2020-10-17,cleaner,4.0,32
21,1996-02-07,2019-07-08,2020-03-24,director,4.0,26
22,1961-04-05,2022-02-11,2022-02-13,manager,4.0,61
23,1995-07-03,2019-09-10,2020-03-25,manager,5.0,26
24,2001-11-28,2021-06-03,2021-06-19,cleaner,1.0,20
25,1966-12-17,2020-07-21,2021-02-04,manager,3.0,55
26,1971-01-24,2019-11-12,2019-12-26,coach,5.0,51
27,1971-02-07,2021-11-21,2021-12-02,accountant,2.0,51
28,1995-03-20,2021-10-05,2021-11-21,manager,1.0,27
29,1967-02-04,2020-02-14,2021-05-29,medic,5.0,55
30,1982-11-20,2020-05-19,2021-11-19,coach,4.0,39
31,1967-01-24,2021-04-14,2021-05-28,manager,2.0,55
32,1985-01-27,2020-01-23,2022-03-13,psychologist,3.0,37
33,1979-12-18,2019-09-12,2020-11-23,cleaner,1.0,42
34,1988-02-17,2019-08-16,2020-10-03,psychologist,2.0,34
35,2003-04-04,2022-03-31,2022-05-24,cleaner,1.0,19
36,1981-02-07,2019-12-13,2021-04-14,coach,3.0,41
37,2002-09-17,2021-10-23,2021-12-22,coach,1.0,19
38,1972-09-08,2022-04-28,2022-05-28,manager,2.0,49
39,2001-02-26,2022-01-09,2022-02-05,coach,2.0,21
40,1998-01-08,2019-07-06,2019-10-29,cleaner,5.0,24
41,1957-08-04,2022-02-15,2022-04-05,psychologist,2.0,64
42,1972-12-28,2021-01-01,2021-09-07,cleaner,3.0,49
43,1978-09-09,2020-02-05,2020-11-02,director,1.0,43
44,1964-07-09,2019-09-03,2020-02-24,manager,5.0,57
