birthdate,age,category,facility_id,join_date,retire_date,team_name,gender
2015-05-11,7,junior,1.0,2022-05-11,2022-05-28,Toronto Olympics,F
2004-09-27,17,junior,1.0,2019-12-05,2020-12-03,Toronto Rockets,M
2002-10-31,19,junior,1.0,2022-04-29,2022-05-16,Toronto Rockets,M
2013-08-01,8,junior,1.0,2021-11-26,2021-11-29,Cold Islanders,F
2006-12-29,15,junior,1.0,2021-06-27,2021-09-24,Toronto Rockets,M
2008-06-28,13,junior,1.0,2019-12-06,2022-01-20,Cold Islanders,F
2005-04-09,17,junior,1.0,2019-12-24,2020-07-22,Cold Islanders,F
2004-02-18,18,junior,2.0,2021-02-09,2022-01-28,Baby Broomers,F
2009-07-22,12,junior,2.0,2021-09-15,2021-11-06,Ice Unicorns,F
2008-07-11,13,junior,2.0,2020-05-15,2022-02-04,Montreal Lasers,F
2005-06-30,16,junior,2.0,2019-07-10,2020-10-16,Montreal Lasers,F
2014-07-05,7,junior,2.0,2021-10-25,2022-05-07,Montreal Lasers,F
2003-11-04,18,junior,2.0,2021-12-17,2022-05-25,Montreal Braves,M
2012-02-07,10,junior,2.0,2020-03-21,2020-08-08,Montreal Lasers,F
2012-08-23,9,junior,2.0,2020-03-04,2020-04-04,Montreal Vipers,M
2008-05-08,14,junior,2.0,2021-01-17,2021-10-12,Ice Unicorns,F
2011-06-26,10,junior,2.0,2020-03-16,2021-12-26,Super Salsa,M
2002-09-02,19,junior,3.0,2019-06-23,2021-07-22,Stone Mariners,M
2008-12-16,13,junior,3.0,2019-10-25,2021-05-22,Stone Mariners,M
2004-08-07,17,junior,3.0,2019-07-28,2020-11-28,Stone Mariners,F
2001-09-13,20,junior,3.0,2022-05-22,2022-05-25,Calgary Metros,F
2010-10-03,11,junior,3.0,2020-09-13,2021-10-17,Stone Mariners,M
2010-03-21,12,junior,3.0,2020-12-16,2022-02-08,Rolling Stones,F
2010-12-29,11,junior,3.0,2020-07-02,2021-11-18,Stone Mariners,F
2009-12-17,12,junior,3.0,2020-10-23,2021-08-27,Stone Mariners,F
2012-05-27,10,junior,3.0,2021-09-06,2022-01-16,Calgary Metros,F
2012-09-23,9,junior,3.0,2022-02-17,2022-04-09,Stone Mariners,M
2013-11-25,8,junior,3.0,2021-12-31,2022-03-28,Calgary Metros,F
2015-04-29,7,junior,3.0,2022-05-15,2022-05-19,Ice Huskies,M
2002-04-07,20,junior,4.0,2019-11-30,2021-12-05,Broom Mets,F
2008-03-16,14,junior,4.0,2019-11-09,2021-08-12,Ottawa Greys,F
2012-01-27,10,junior,4.0,2020-04-09,2021-08-21,Ottawa Kiltys,F
2003-12-20,18,junior,4.0,2021-05-13,2021-09-03,Cold Chinooks,F
2006-03-04,16,junior,5.0,2020-05-04,2020-10-21,Super Lords,M
2011-01-13,11,junior,5.0,2021-11-30,2022-03-08,Super Atlantics,F
2015-04-15,7,junior,5.0,2022-05-13,2022-05-15,Super Atlantics,F
2003-03-16,19,junior,5.0,2021-08-25,2021-11-29,Vancouver Buccaneers,F
2010-05-11,12,junior,5.0,2019-06-06,2019-12-29,Super Lords,M
2012-07-22,9,junior,5.0,2021-02-28,2022-05-21,Broom Hawks,M
2014-05-11,8,junior,5.0,2021-07-21,2021-08-25,Vancouver Buccaneers,F
2008-11-27,13,junior,5.0,2021-04-01,2021-04-24,Vancouver Buccaneers,F
2014-04-04,8,junior,5.0,2021-06-04,2022-02-20,Vancouver Buccaneers,F
