id,birthdate,age,category,facility_id
1,2015-05-11,7,junior,1.0
2,2004-09-27,17,junior,1.0
3,2002-10-31,19,junior,1.0
4,2013-08-01,8,junior,1.0
5,2006-12-29,15,junior,1.0
6,2008-06-28,13,junior,1.0
7,2005-04-09,17,junior,1.0
8,2004-02-18,18,junior,2.0
9,2009-07-22,12,junior,2.0
10,2008-07-11,13,junior,2.0
11,2005-06-30,16,junior,2.0
12,2014-07-05,7,junior,2.0
13,2003-11-04,18,junior,2.0
14,2012-02-07,10,junior,2.0
15,2012-08-23,9,junior,2.0
16,2008-05-08,14,junior,2.0
17,2011-06-26,10,junior,2.0
18,2002-09-02,19,junior,3.0
19,2008-12-16,13,junior,3.0
20,2004-08-07,17,junior,3.0
21,2001-09-13,20,junior,3.0
22,2010-10-03,11,junior,3.0
23,2010-03-21,12,junior,3.0
24,2010-12-29,11,junior,3.0
25,2009-12-17,12,junior,3.0
26,2012-05-27,10,junior,3.0
27,2012-09-23,9,junior,3.0
28,2013-11-25,8,junior,3.0
29,2015-04-29,7,junior,3.0
30,2002-04-07,20,junior,4.0
31,2008-03-16,14,junior,4.0
32,2012-01-27,10,junior,4.0
33,2003-12-20,18,junior,4.0
34,2006-03-04,16,junior,5.0
35,2011-01-13,11,junior,5.0
36,2015-04-15,7,junior,5.0
37,2003-03-16,19,junior,5.0
38,2010-05-11,12,junior,5.0
39,2012-07-22,9,junior,5.0
40,2014-05-11,8,junior,5.0
41,2008-11-27,13,junior,5.0
42,2014-04-04,8,junior,5.0
43,1984-08-28,37,adult,1.0
44,1972-07-30,49,adult,1.0
45,1989-07-11,32,adult,1.0
46,1995-02-14,27,adult,1.0
47,1991-02-02,31,adult,1.0
48,1995-07-10,26,adult,1.0
49,1986-12-15,35,adult,1.0
50,1998-04-03,24,adult,1.0
51,1993-11-22,28,adult,1.0
52,1997-05-26,25,adult,1.0
53,1987-08-06,34,adult,1.0
54,1982-07-31,39,adult,1.0
55,1994-07-25,27,adult,1.0
56,1991-08-07,30,adult,2.0
57,1986-03-21,36,adult,2.0
58,1978-06-12,43,adult,2.0
59,1999-06-06,22,adult,2.0
60,1990-11-17,31,adult,2.0
61,1999-02-20,23,adult,2.0
62,1972-08-11,49,adult,2.0
63,1986-02-05,36,adult,2.0
64,1994-12-24,27,adult,2.0
65,1986-09-07,35,adult,2.0
66,1986-12-28,35,adult,2.0
67,1984-04-19,38,adult,2.0
68,1980-02-11,42,adult,3.0
69,1991-05-19,31,adult,3.0
70,1975-10-13,46,adult,3.0
71,1992-05-17,30,adult,3.0
72,1995-08-29,26,adult,3.0
73,1986-08-01,35,adult,3.0
74,1985-09-22,36,adult,3.0
75,1998-04-25,24,adult,3.0
76,1978-11-21,43,adult,3.0
77,1987-03-08,35,adult,3.0
78,1991-02-03,31,adult,3.0
79,1974-06-14,47,adult,3.0
80,1976-05-16,46,adult,3.0
81,1999-09-26,22,adult,4.0
82,1983-03-04,39,adult,4.0
83,1989-08-07,32,adult,4.0
84,1980-07-29,41,adult,4.0
85,1998-08-30,23,adult,4.0
86,1987-03-07,35,adult,4.0
87,1994-08-22,27,adult,4.0
88,1991-01-24,31,adult,4.0
89,1975-04-06,47,adult,4.0
90,1990-02-11,32,adult,4.0
91,2000-01-30,22,adult,4.0
92,1988-09-28,33,adult,4.0
93,1991-12-30,30,adult,5.0
94,1991-07-09,30,adult,5.0
95,1997-06-10,24,adult,5.0
96,1978-09-17,43,adult,5.0
97,1993-01-22,29,adult,5.0
98,1980-08-25,41,adult,5.0
99,1977-01-28,45,adult,5.0
100,1979-06-29,42,adult,5.0
101,1983-01-02,39,adult,5.0
102,1998-01-18,24,adult,5.0
103,1974-05-08,48,adult,5.0
