birthdate,age,join_date,retire_date,position,facility_id
1980-11-11,41,2021-10-28,,accountant,1.0
1979-11-19,42,2022-01-23,,cleaner,1.0
1978-02-19,44,2020-12-07,,cleaner,1.0
1980-06-01,41,2021-05-16,,cleaner,1.0
1971-01-25,51,2020-01-09,,cleaner,1.0
1997-04-12,25,2019-07-15,,cleaner,1.0
1997-10-28,24,2021-08-17,,cleaner,1.0
1985-09-15,36,2020-02-18,,cleaner,1.0
1994-04-12,28,2022-01-24,,cleaner,1.0
1996-12-20,25,2021-06-08,2021-10-19,cleaner,1.0
2001-11-28,20,2021-06-03,2021-06-19,cleaner,1.0
1979-12-18,42,2019-09-12,2020-11-23,cleaner,1.0
2003-04-04,19,2022-03-31,2022-05-24,cleaner,1.0
1983-03-30,39,2021-08-27,,coach,1.0
1976-10-01,45,2020-09-05,,coach,1.0
1967-12-24,54,2022-05-23,,coach,1.0
1978-04-29,44,2021-01-22,,coach,1.0
2002-09-17,19,2021-10-23,2021-12-22,coach,1.0
1995-09-04,26,2019-12-13,,director,1.0
1978-09-09,43,2020-02-05,2020-11-02,director,1.0
1975-07-06,46,2020-05-21,,manager,1.0
1995-08-09,26,2019-08-28,,manager,1.0
1980-09-29,41,2022-05-06,,manager,1.0
1983-08-19,38,2022-01-01,,manager,1.0
1991-11-19,30,2019-12-04,,manager,1.0
1983-03-16,39,2020-06-18,,manager,1.0
1974-06-22,47,2019-12-10,,manager,1.0
1958-10-30,63,2020-01-15,2020-04-09,manager,1.0
1988-01-09,34,2021-01-10,2021-04-24,manager,1.0
1995-03-20,27,2021-10-05,2021-11-21,manager,1.0
1977-06-04,44,2021-12-04,,medic,1.0
1973-05-27,49,2021-09-20,,medic,1.0
1968-11-28,53,2020-03-25,,psychologist,1.0
1969-11-09,52,2022-02-22,,accountant,2.0
1959-03-23,63,2021-02-09,,accountant,2.0
1971-02-07,51,2021-11-21,2021-12-02,accountant,2.0
1972-03-07,50,2021-12-07,,cleaner,2.0
1984-02-16,38,2020-02-04,,cleaner,2.0
2003-11-11,18,2021-11-22,,cleaner,2.0
1971-06-02,50,2022-05-14,,cleaner,2.0
1971-08-17,50,2020-10-03,,cleaner,2.0
1980-02-02,42,2019-09-20,2021-06-26,cleaner,2.0
1997-11-20,24,2020-02-01,,coach,2.0
1976-07-28,45,2021-07-27,,coach,2.0
1996-03-10,26,2020-09-17,,coach,2.0
1986-09-18,35,2020-03-19,,coach,2.0
1976-10-08,45,2019-11-28,,coach,2.0
1995-12-13,26,2020-05-16,2022-03-08,coach,2.0
2001-02-26,21,2022-01-09,2022-02-05,coach,2.0
1957-06-15,64,2020-09-12,,director,2.0
1988-07-11,33,2019-12-26,,manager,2.0
1962-09-17,59,2020-09-25,,manager,2.0
1977-02-05,45,2020-03-27,,manager,2.0
1990-04-30,32,2020-02-09,,manager,2.0
1975-11-15,46,2021-01-24,,manager,2.0
1966-10-15,55,2020-03-02,,manager,2.0
1989-01-05,33,2022-01-18,,manager,2.0
1994-01-14,28,2021-08-04,,manager,2.0
1978-07-01,43,2021-01-05,,manager,2.0
1970-07-17,51,2021-03-21,,manager,2.0
1993-04-23,29,2020-11-05,2021-06-19,manager,2.0
1978-12-24,43,2019-11-14,2020-01-01,manager,2.0
1967-01-24,55,2021-04-14,2021-05-28,manager,2.0
1972-09-08,49,2022-04-28,2022-05-28,manager,2.0
1958-10-29,63,2020-10-26,,medic,2.0
1995-05-20,27,2021-05-26,,medic,2.0
1968-02-09,54,2019-06-11,,medic,2.0
1977-06-10,44,2021-06-09,,psychologist,2.0
1988-10-02,33,2022-02-13,2022-02-27,psychologist,2.0
1988-02-17,34,2019-08-16,2020-10-03,psychologist,2.0
1957-08-04,64,2022-02-15,2022-04-05,psychologist,2.0
1983-12-17,38,2019-12-05,,accountant,3.0
1993-07-30,28,2021-12-24,,cleaner,3.0
1990-08-03,31,2020-03-18,,cleaner,3.0
1968-06-16,53,2019-07-08,,cleaner,3.0
1996-05-01,26,2020-03-04,,cleaner,3.0
2004-03-24,18,2022-05-28,,cleaner,3.0
1968-01-28,54,2022-04-12,,cleaner,3.0
1973-09-22,48,2021-06-21,2021-08-25,cleaner,3.0
1972-12-28,49,2021-01-01,2021-09-07,cleaner,3.0
1990-05-20,32,2020-10-25,,coach,3.0
2002-05-14,20,2020-09-01,,coach,3.0
1993-04-27,29,2022-04-03,,coach,3.0
1970-01-10,52,2020-10-04,,coach,3.0
1969-04-16,53,2022-04-27,,coach,3.0
1983-07-13,38,2019-06-21,,coach,3.0
1968-07-18,53,2020-07-16,2021-05-09,coach,3.0
1981-02-07,41,2019-12-13,2021-04-14,coach,3.0
1970-01-10,52,2021-07-24,,director,3.0
1959-12-31,62,2020-05-04,,manager,3.0
1973-12-16,48,2021-08-11,,manager,3.0
1977-05-07,45,2021-05-12,,manager,3.0
1968-12-18,53,2020-10-19,,manager,3.0
1969-12-20,52,2021-05-15,,manager,3.0
1963-05-21,59,2019-08-15,,manager,3.0
1957-08-03,64,2021-11-19,,manager,3.0
1964-06-15,57,2020-02-07,,manager,3.0
1984-06-12,37,2020-03-18,,manager,3.0
1964-09-25,57,2019-10-26,,manager,3.0
1966-12-17,55,2020-07-21,2021-02-04,manager,3.0
1980-05-17,42,2021-10-04,,medic,3.0
1982-02-22,40,2019-10-02,,medic,3.0
1982-02-09,40,2020-04-20,,psychologist,3.0
1989-02-08,33,2020-08-26,,psychologist,3.0
1969-11-20,52,2020-08-23,2020-10-20,psychologist,3.0
1985-01-27,37,2020-01-23,2022-03-13,psychologist,3.0
1996-12-14,25,2020-11-02,,accountant,4.0
1960-07-04,61,2020-03-28,,accountant,4.0
1965-04-10,57,2021-03-08,2022-04-10,accountant,4.0
2001-01-16,21,2021-12-10,,cleaner,4.0
1978-07-03,43,2020-08-20,,cleaner,4.0
2000-12-07,21,2020-06-05,,cleaner,4.0
1969-09-30,52,2021-10-29,,cleaner,4.0
2003-12-20,18,2022-03-20,,cleaner,4.0
1982-06-22,39,2019-09-08,,cleaner,4.0
1990-11-01,31,2021-07-09,,cleaner,4.0
1968-05-21,54,2019-09-06,,cleaner,4.0
1983-12-21,38,2020-01-18,,cleaner,4.0
1968-06-24,53,2020-12-14,2021-04-22,cleaner,4.0
1989-10-12,32,2020-03-19,2020-10-17,cleaner,4.0
1971-05-28,51,2022-04-25,,coach,4.0
1986-02-20,36,2022-03-15,,coach,4.0
1967-10-31,54,2020-08-08,,coach,4.0
1992-08-14,29,2020-02-16,,coach,4.0
1994-10-30,27,2021-12-16,2022-05-23,coach,4.0
1982-11-20,39,2020-05-19,2021-11-19,coach,4.0
1974-12-06,47,2019-06-15,,director,4.0
1996-02-07,26,2019-07-08,2020-03-24,director,4.0
1984-04-17,38,2019-08-13,,manager,4.0
1965-07-11,56,2020-05-12,,manager,4.0
1982-08-26,39,2021-11-08,,manager,4.0
1985-11-12,36,2022-01-15,,manager,4.0
1992-11-15,29,2021-01-03,,manager,4.0
1990-06-09,31,2020-03-26,,manager,4.0
1984-05-16,38,2020-12-07,,manager,4.0
1980-11-17,41,2022-04-19,,manager,4.0
1961-10-11,60,2019-11-07,2020-07-07,manager,4.0
1962-08-27,59,2021-01-08,2022-03-18,manager,4.0
1961-04-05,61,2022-02-11,2022-02-13,manager,4.0
1974-03-15,48,2019-10-09,,medic,4.0
1963-08-06,58,2020-06-25,,psychologist,4.0
1985-09-02,36,2021-05-03,,psychologist,4.0
1986-12-03,35,2020-08-06,2022-03-17,psychologist,4.0
1976-08-27,45,2019-08-18,,accountant,5.0
1976-03-15,46,2020-10-11,,accountant,5.0
1975-07-19,46,2020-11-01,,cleaner,5.0
1982-04-02,40,2019-08-11,,cleaner,5.0
2003-11-02,18,2022-03-04,,cleaner,5.0
1969-01-23,53,2021-12-21,,cleaner,5.0
1970-09-14,51,2022-03-03,,cleaner,5.0
1995-11-09,26,2022-05-13,,cleaner,5.0
1998-12-16,23,2021-09-27,,cleaner,5.0
1992-10-21,29,2020-08-14,,cleaner,5.0
1991-06-06,30,2020-06-23,,cleaner,5.0
1979-03-08,43,2020-07-13,,cleaner,5.0
1982-03-14,40,2021-07-06,2022-05-30,cleaner,5.0
1998-01-08,24,2019-07-06,2019-10-29,cleaner,5.0
2001-04-28,21,2019-06-16,,coach,5.0
1969-05-03,53,2019-08-20,,coach,5.0
1982-08-14,39,2022-03-15,,coach,5.0
1971-01-24,51,2019-11-12,2019-12-26,coach,5.0
1967-05-15,55,2019-10-10,,director,5.0
1968-08-03,53,2019-11-10,,manager,5.0
