person_id,birthdate,age,category,facility_id,join_date,retire_date,team_name,gender,position
0,2010-05-11,12,junior,5.0,2019-06-06,2019-12-29,Super Lords,M,
1,1991-01-24,31,adult,4.0,2019-06-09,2020-02-22,Game of Stones,F,
2,1968-02-09,54,,2.0,2019-06-11,,,,medic
3,1974-12-06,47,,4.0,2019-06-15,,,,director
4,2001-04-28,21,,5.0,2019-06-16,,,,coach
5,2006-02-18,16,junior,5.0,2019-06-18,,Super Lords,M,
6,2006-09-10,15,junior,3.0,2019-06-19,,Ice Huskies,M,
7,2011-06-29,10,junior,5.0,2019-06-20,,Curlers Terriers,M,
8,1983-07-13,38,,3.0,2019-06-21,,,,coach
9,2002-09-02,19,junior,3.0,2019-06-23,2021-07-22,Stone Mariners,M,
10,1982-07-31,39,adult,1.0,2019-06-25,2021-06-01,Ice Sabres,M,
11,1974-10-26,47,adult,2.0,2019-06-29,,Cold Colts,M,
12,1998-01-08,24,,5.0,2019-07-06,2019-10-29,,,cleaner
13,1987-09-26,34,adult,1.0,2019-07-06,,Toronto Eagles,M,
14,2011-08-13,10,junior,2.0,2019-07-08,,Montreal Lasers,F,
15,1968-06-16,53,,3.0,2019-07-08,,,,cleaner
16,1996-02-07,26,,4.0,2019-07-08,2020-03-24,,,director
17,2005-06-30,16,junior,2.0,2019-07-10,2020-10-16,Montreal Lasers,F,
18,1991-03-14,31,adult,2.0,2019-07-10,,Ice Bulls,M,
19,1997-04-12,25,,1.0,2019-07-15,,,,cleaner
20,2006-04-18,16,junior,2.0,2019-07-17,,Baby Broomers,F,
21,1992-10-24,29,adult,3.0,2019-07-20,,Calgary Rockets,M,
22,1983-01-02,39,adult,5.0,2019-07-23,2020-11-14,Vancouver Fury,M,
23,1978-09-17,43,adult,5.0,2019-07-24,2020-07-06,Vancouver Islanders,F,
24,2012-02-16,10,junior,4.0,2019-07-27,,Ottawa Greys,F,
25,2004-08-07,17,junior,3.0,2019-07-28,2020-11-28,Stone Mariners,F,
26,1980-04-15,42,adult,3.0,2019-07-29,,Calgary Cubs,M,
27,1975-12-31,46,adult,2.0,2019-08-02,,Montreal Raiders,M,
28,1973-12-27,48,adult,3.0,2019-08-07,,Cold Huskies,F,
29,2006-11-04,15,junior,2.0,2019-08-11,,Montreal Vipers,M,
30,1982-04-02,40,,5.0,2019-08-11,,,,cleaner
31,1984-04-17,38,,4.0,2019-08-13,,,,manager
32,1963-05-21,59,,3.0,2019-08-15,,,,manager
33,1996-01-13,26,adult,3.0,2019-08-15,,Calgary Fleur-de-Lys,M,
34,1988-02-17,34,,2.0,2019-08-16,2020-10-03,,,psychologist
35,2008-12-23,13,junior,1.0,2019-08-16,,Toronto Rockets,M,
36,1983-03-29,39,adult,2.0,2019-08-17,,Montreal Bruins,M,
37,1976-08-27,45,,5.0,2019-08-18,,,,accountant
38,1991-12-10,30,adult,2.0,2019-08-18,,Montreal Raiders,M,
39,2005-04-15,17,junior,3.0,2019-08-20,,Calgary Metros,F,
40,1969-05-03,53,,5.0,2019-08-20,,,,coach
41,2004-10-26,17,junior,2.0,2019-08-25,,Super Salsa,M,
42,2002-03-04,20,junior,4.0,2019-08-27,,Ottawa Kiltys,F,
43,1995-08-09,26,,1.0,2019-08-28,,,,manager
44,1983-09-07,38,adult,2.0,2019-08-30,,Cold Colts,M,
45,1996-06-11,25,adult,2.0,2019-08-31,,Cold Colts,M,
46,1980-02-28,42,adult,2.0,2019-09-02,,Montreal Bruins,M,
47,1964-07-09,57,,5.0,2019-09-03,2020-02-24,,,manager
48,2009-01-01,13,junior,5.0,2019-09-05,,Stone Timberwolves,M,
49,1968-05-21,54,,4.0,2019-09-06,,,,cleaner
50,2006-07-21,15,junior,5.0,2019-09-08,,Stone Timberwolves,M,
51,1982-06-22,39,,4.0,2019-09-08,,,,cleaner
52,1995-07-03,26,,5.0,2019-09-10,2020-03-25,,,manager
53,1979-12-18,42,,1.0,2019-09-12,2020-11-23,,,cleaner
54,1976-05-16,46,adult,3.0,2019-09-13,2020-11-08,Calgary Bruins,M,
55,2006-06-28,15,junior,2.0,2019-09-15,,Ice Unicorns,F,
56,1973-09-10,48,adult,3.0,2019-09-15,,Calgary Bruins,M,
57,1980-02-02,42,,2.0,2019-09-20,2021-06-26,,,cleaner
58,1980-07-29,41,adult,4.0,2019-09-22,2022-02-15,Game of Stones,F,
59,1994-07-25,27,adult,1.0,2019-09-24,2020-10-15,Ice Sabres,F,
60,2004-09-06,17,junior,5.0,2019-09-24,,Stone Timberwolves,M,
61,1979-08-26,42,adult,3.0,2019-09-28,,Calgary Rockets,M,
62,1996-05-10,26,adult,1.0,2019-09-30,,Ice Sabres,M,
63,1979-08-11,42,adult,3.0,2019-09-30,,Calgary Fleur-de-Lys,M,
64,1982-02-22,40,,3.0,2019-10-02,,,,medic
65,2010-09-02,11,junior,5.0,2019-10-03,,Broom Hawks,M,
66,1994-11-23,27,adult,3.0,2019-10-03,,Cold Huskies,F,
67,1978-11-21,43,adult,3.0,2019-10-05,2021-07-24,Calgary Bruins,M,
68,2006-06-30,15,junior,2.0,2019-10-08,,Baby Broomers,F,
69,2003-01-04,19,junior,5.0,2019-10-08,,Super Atlantics,F,
70,1974-03-15,48,,4.0,2019-10-09,,,,medic
71,1967-05-15,55,,5.0,2019-10-10,,,,director
72,1989-08-14,32,adult,5.0,2019-10-15,,Vancouver Fury,M,
73,1996-05-13,26,adult,3.0,2019-10-20,,Calgary Bruins,M,
74,2008-12-16,13,junior,3.0,2019-10-25,2021-05-22,Stone Mariners,M,
75,1964-09-25,57,,3.0,2019-10-26,,,,manager
76,1997-05-26,25,adult,1.0,2019-10-29,2019-11-16,Toronto Penguins,F,
77,1986-12-15,35,adult,1.0,2019-10-29,2021-04-21,Toronto Penguins,F,
78,2004-10-23,17,junior,5.0,2019-11-02,,Super Atlantics,F,
79,1987-03-08,35,adult,3.0,2019-11-06,2021-02-17,Calgary Fleur-de-Lys,M,
80,1961-10-11,60,,4.0,2019-11-07,2020-07-07,,,manager
81,1994-08-22,27,adult,4.0,2019-11-07,2020-09-15,Cold Travelways,M,
82,2008-03-16,14,junior,4.0,2019-11-09,2021-08-12,Ottawa Greys,F,
83,1968-08-03,53,,5.0,2019-11-10,,,,manager
84,1971-01-24,51,,5.0,2019-11-12,2019-12-26,,,coach
85,2004-03-31,18,junior,2.0,2019-11-13,,Ice Unicorns,F,
86,1992-05-19,30,,5.0,2019-11-13,,,,manager
87,1978-12-24,43,,2.0,2019-11-14,2020-01-01,,,manager
88,2010-01-31,12,junior,5.0,2019-11-18,,Super Lords,M,
89,1974-07-19,47,adult,2.0,2019-11-20,,Cold Colts,M,
90,1982-10-18,39,adult,1.0,2019-11-22,,Toronto Penguins,F,
91,2009-03-17,13,junior,1.0,2019-11-25,,Toronto Olympics,M,
92,2002-05-09,20,junior,2.0,2019-11-28,,Montreal Braves,M,
93,2011-12-17,10,junior,3.0,2019-11-28,,Calgary Metros,F,
94,1976-10-08,45,,2.0,2019-11-28,,,,coach
95,2007-02-16,15,junior,4.0,2019-11-29,,Ottawa Greys,F,
96,2002-04-07,20,junior,4.0,2019-11-30,2021-12-05,Broom Mets,F,
