birthdate,age,category,facility_id,join_date,retire_date,team_name,gender
2011-07-11,10,junior,1.0,2020-06-26,,Cold Islanders,F
2010-02-06,12,junior,1.0,2020-08-24,,Cold Islanders,F
2006-09-14,15,junior,1.0,2020-01-14,,Cold Islanders,F
2010-10-09,11,junior,1.0,2021-01-02,,Cold Islanders,F
2009-07-22,12,junior,1.0,2021-08-06,,Cold Islanders,F
2007-06-07,14,junior,1.0,2020-03-04,,Cold Islanders,F
2013-08-01,8,junior,1.0,2021-11-26,2021-11-29,Cold Islanders,F
2008-06-28,13,junior,1.0,2019-12-06,2022-01-20,Cold Islanders,F
2005-04-09,17,junior,1.0,2019-12-24,2020-07-22,Cold Islanders,F
1989-01-23,33,adult,1.0,2021-12-23,,Ice Cougars,F
1989-11-01,32,adult,1.0,2020-04-13,,Ice Cougars,F
1972-09-16,49,adult,1.0,2022-05-17,,Ice Cougars,F
1973-06-11,48,adult,1.0,2021-03-21,,Ice Cougars,F
1981-09-21,40,adult,1.0,2019-12-05,,Ice Cougars,F
1989-07-11,32,adult,1.0,2020-09-27,2022-02-01,Ice Cougars,F
1995-07-10,26,adult,1.0,2020-07-25,2021-01-27,Ice Cougars,F
1988-01-03,34,adult,1.0,2020-06-07,,Ice Sabres,M
1976-10-14,45,adult,1.0,2020-02-18,,Ice Sabres,M
1996-05-10,26,adult,1.0,2019-09-30,,Ice Sabres,M
1981-05-01,41,adult,1.0,2020-06-19,,Ice Sabres,M
1982-08-30,39,adult,1.0,2020-05-22,,Ice Sabres,M
1995-03-30,27,adult,1.0,2020-08-01,,Ice Sabres,M
1986-09-07,35,adult,1.0,2020-02-29,,Ice Sabres,M
1972-07-30,49,adult,1.0,2021-01-13,2022-01-28,Ice Sabres,M
1998-04-03,24,adult,1.0,2022-01-30,2022-03-15,Ice Sabres,F
1982-07-31,39,adult,1.0,2019-06-25,2021-06-01,Ice Sabres,M
1994-07-25,27,adult,1.0,2019-09-24,2020-10-15,Ice Sabres,F
1986-02-20,36,adult,1.0,2020-03-17,,Toronto Eagles,M
1990-07-15,31,adult,1.0,2020-10-15,,Toronto Eagles,M
1981-10-04,40,adult,1.0,2021-11-07,,Toronto Eagles,M
1981-11-27,40,adult,1.0,2021-04-03,,Toronto Eagles,M
1986-04-07,36,adult,1.0,2020-02-25,,Toronto Eagles,M
1987-09-26,34,adult,1.0,2019-07-06,,Toronto Eagles,M
1990-04-09,32,adult,1.0,2022-05-11,,Toronto Eagles,M
1994-08-20,27,adult,1.0,2021-07-18,,Toronto Eagles,M
1984-08-28,37,adult,1.0,2021-06-21,2021-08-11,Toronto Eagles,M
1993-11-22,28,adult,1.0,2022-04-11,2022-05-08,Toronto Eagles,M
1987-08-06,34,adult,1.0,2021-04-01,2022-04-15,Toronto Eagles,M
2009-09-18,12,junior,1.0,2020-04-16,,Toronto Olympics,F
2010-07-22,11,junior,1.0,2021-03-10,,Toronto Olympics,F
2015-02-24,7,junior,1.0,2022-02-24,,Toronto Olympics,F
2013-05-05,9,junior,1.0,2021-11-19,,Toronto Olympics,M
2009-03-17,13,junior,1.0,2019-11-25,,Toronto Olympics,M
2007-07-05,14,junior,1.0,2022-02-15,,Toronto Olympics,F
2012-11-28,9,junior,1.0,2021-11-26,,Toronto Olympics,F
2015-05-11,7,junior,1.0,2022-05-11,2022-05-28,Toronto Olympics,F
1985-10-23,36,adult,1.0,2020-10-02,,Toronto Penguins,F
1998-06-15,23,adult,1.0,2020-07-26,,Toronto Penguins,F
1982-10-18,39,adult,1.0,2019-11-22,,Toronto Penguins,F
1995-09-02,26,adult,1.0,2021-09-03,,Toronto Penguins,F
1999-10-30,22,adult,1.0,2020-11-21,,Toronto Penguins,F
1983-04-29,39,adult,1.0,2022-03-29,,Toronto Penguins,F
1995-02-14,27,adult,1.0,2020-04-14,2021-09-22,Toronto Penguins,F
1991-02-02,31,adult,1.0,2020-07-01,2020-08-01,Toronto Penguins,F
1986-12-15,35,adult,1.0,2019-10-29,2021-04-21,Toronto Penguins,F
1997-05-26,25,adult,1.0,2019-10-29,2019-11-16,Toronto Penguins,F
2009-08-18,12,junior,1.0,2021-05-09,,Toronto Rockets,M
2004-12-02,17,junior,1.0,2021-11-08,,Toronto Rockets,M
2007-02-07,15,junior,1.0,2021-08-20,,Toronto Rockets,M
2003-09-29,18,junior,1.0,2022-05-10,,Toronto Rockets,M
2008-12-23,13,junior,1.0,2019-08-16,,Toronto Rockets,M
2003-12-19,18,junior,1.0,2022-02-22,,Toronto Rockets,M
2014-08-23,7,junior,1.0,2022-02-12,,Toronto Rockets,M
2004-09-27,17,junior,1.0,2019-12-05,2020-12-03,Toronto Rockets,M
2002-10-31,19,junior,1.0,2022-04-29,2022-05-16,Toronto Rockets,M
2006-12-29,15,junior,1.0,2021-06-27,2021-09-24,Toronto Rockets,M
2006-06-30,15,junior,2.0,2019-10-08,,Baby Broomers,F
2002-09-28,19,junior,2.0,2021-07-18,,Baby Broomers,F
2006-04-18,16,junior,2.0,2019-07-17,,Baby Broomers,F
2007-12-02,14,junior,2.0,2022-02-09,,Baby Broomers,F
2014-08-17,7,junior,2.0,2022-04-07,,Baby Broomers,F
2004-02-18,18,junior,2.0,2021-02-09,2022-01-28,Baby Broomers,F
1978-02-03,44,adult,2.0,2022-04-15,,Cold Colts,M
1996-06-11,25,adult,2.0,2019-08-31,,Cold Colts,M
1974-03-25,48,adult,2.0,2020-08-02,,Cold Colts,M
1974-07-19,47,adult,2.0,2019-11-20,,Cold Colts,M
1974-10-26,47,adult,2.0,2019-06-29,,Cold Colts,M
1983-09-07,38,adult,2.0,2019-08-30,,Cold Colts,M
1991-08-07,30,adult,2.0,2022-04-03,2022-05-30,Cold Colts,M
1978-06-12,43,adult,2.0,2020-11-15,2021-08-02,Cold Colts,M
1990-11-17,31,adult,2.0,2022-05-04,2022-05-11,Cold Colts,M
1986-09-07,35,adult,2.0,2022-05-23,2022-05-25,Cold Colts,M
1991-03-14,31,adult,2.0,2019-07-10,,Ice Bulls,M
1980-01-19,42,adult,2.0,2021-04-01,,Ice Bulls,M
1995-10-31,26,adult,2.0,2021-05-09,,Ice Bulls,M
1974-12-11,47,adult,2.0,2021-11-02,,Ice Bulls,M
1978-08-04,43,adult,2.0,2021-12-15,,Ice Bulls,M
1999-02-20,23,adult,2.0,2020-03-27,2022-05-08,Ice Bulls,M
2014-04-14,8,junior,2.0,2021-07-27,,Ice Unicorns,F
2009-06-10,12,junior,2.0,2022-02-13,,Ice Unicorns,F
2013-06-18,8,junior,2.0,2022-05-23,,Ice Unicorns,F
2003-11-12,18,junior,2.0,2021-11-01,,Ice Unicorns,F
2004-03-31,18,junior,2.0,2019-11-13,,Ice Unicorns,F
2006-06-28,15,junior,2.0,2019-09-15,,Ice Unicorns,F
2006-01-18,16,junior,2.0,2021-05-21,,Ice Unicorns,F
2009-07-22,12,junior,2.0,2021-09-15,2021-11-06,Ice Unicorns,F
2008-05-08,14,junior,2.0,2021-01-17,2021-10-12,Ice Unicorns,F
2006-04-05,16,junior,2.0,2021-10-25,,Montreal Braves,M
2004-08-06,17,junior,2.0,2020-03-11,,Montreal Braves,M
2012-01-06,10,junior,2.0,2020-05-16,,Montreal Braves,M
2011-07-03,10,junior,2.0,2021-01-31,,Montreal Braves,M
2002-05-09,20,junior,2.0,2019-11-28,,Montreal Braves,M
2013-01-27,9,junior,2.0,2022-05-01,,Montreal Braves,M
2003-11-04,18,junior,2.0,2021-12-17,2022-05-25,Montreal Braves,M
1995-04-29,27,adult,2.0,2020-03-24,,Montreal Bruins,M
1984-09-07,37,adult,2.0,2020-07-13,,Montreal Bruins,M
1980-02-28,42,adult,2.0,2019-09-02,,Montreal Bruins,M
1985-02-24,37,adult,2.0,2021-08-18,,Montreal Bruins,M
1983-03-29,39,adult,2.0,2019-08-17,,Montreal Bruins,M
1986-03-21,36,adult,2.0,2020-02-21,2022-01-11,Montreal Bruins,M
1972-08-11,49,adult,2.0,2019-12-19,2021-10-04,Montreal Bruins,M
1994-12-24,27,adult,2.0,2021-11-08,2022-02-28,Montreal Bruins,M
1986-12-28,35,adult,2.0,2021-08-20,2021-09-16,Montreal Bruins,M
2003-12-16,18,junior,2.0,2021-04-22,,Montreal Lasers,F
2005-12-04,16,junior,2.0,2020-09-21,,Montreal Lasers,F
2004-01-13,18,junior,2.0,2020-02-17,,Montreal Lasers,F
2010-09-11,11,junior,2.0,2020-03-26,,Montreal Lasers,F
