,team_name,ranking
0,Toronto Eagles,88
1,Montreal Raiders,13
2,Calgary Bruins,34
3,Ottawa Victorias,9
4,Vancouver Islanders,79
5,Toronto Penguins,50
6,Montreal Vipers,57
7,Calgary Cougars,67
8,Ottawa Kiltys,50
9,Vancouver Buccaneers,9
10,Baby Broomers,91
11,Rolling Stones,65
12,Game of Stones,32
13,Ice Unicorns,96
14,Ice Cougars,96
15,Calgary Fleur-de-Lys,45
16,Calgary Cubs,62
17,Cold Chinooks,32
18,Vancouver Fury,96
19,Curlers Terriers,48
20,Toronto Rockets,5
21,Montreal Braves,1
22,Super Atlantics,64
23,Montreal Bruins,89
24,Ice Dodgers,81
25,Ice Huskies,82
26,Broom Hawks,22
27,Super Salsa,65
28,Broom Mets,70
29,Stone Timberwolves,31
30,Calgary Rockets,55
31,Super Lords,1
32,Cold Islanders,60
33,Ottawa Greys,15
34,Ice Sabres,29
35,Toronto Olympics,91
36,Cold Travelways,32
37,Cold Colts,95
38,Cold Huskies,35
39,Stone Mariners,67
40,Calgary Metros,67
41,Ice Bulls,7
42,Montreal Lasers,93
