person_id,date,position
73,2019-11-26,lead
67,2019-11-26,vice
56,2019-11-26,second
54,2019-11-26,skip
44,2019-12-28,second
45,2019-12-28,skip
11,2019-12-28,lead
89,2019-12-28,vice
11,2020-01-25,second
44,2020-01-25,lead
89,2020-01-25,vice
45,2020-01-25,skip
117,2020-01-30,lead
33,2020-01-30,skip
79,2020-01-30,second
63,2020-01-30,vice
56,2020-02-02,lead
54,2020-02-02,vice
67,2020-02-02,skip
73,2020-02-02,second
89,2020-02-05,lead
45,2020-02-05,vice
44,2020-02-05,second
11,2020-02-05,skip
79,2020-02-27,second
46,2020-02-27,skip
33,2020-02-27,vice
140,2020-02-27,second
36,2020-02-27,vice
109,2020-02-27,lead
117,2020-02-27,lead
123,2020-02-27,skip
36,2020-02-28,skip
46,2020-02-28,vice
140,2020-02-28,second
109,2020-02-28,lead
138,2020-07-03,vice
210,2020-07-03,second
62,2020-07-03,lead
145,2020-07-03,skip
44,2020-07-07,vice
11,2020-07-07,skip
89,2020-07-07,second
45,2020-07-07,lead
74,2020-07-09,second
217,2020-07-09,lead
157,2020-07-09,vice
25,2020-07-09,skip
217,2020-07-11,skip
74,2020-07-11,vice
137,2020-07-11,skip
131,2020-07-11,vice
9,2020-07-11,lead
211,2020-07-11,lead
174,2020-07-11,second
25,2020-07-11,second
11,2020-07-13,skip
185,2020-07-13,second
72,2020-07-13,skip
22,2020-07-13,lead
89,2020-07-13,second
159,2020-07-13,vice
45,2020-07-13,vice
44,2020-07-13,lead
90,2020-07-15,skip
216,2020-07-15,second
179,2020-07-15,vice
186,2020-07-15,vice
88,2020-07-15,skip
5,2020-07-15,second
77,2020-07-15,lead
214,2020-07-15,lead
111,2020-07-21,second
121,2020-07-21,second
127,2020-07-21,lead
215,2020-07-21,lead
110,2020-07-21,skip
144,2020-07-21,vice
151,2020-07-21,skip
102,2020-07-21,vice
151,2020-07-23,second
111,2020-07-23,lead
144,2020-07-23,skip
182,2020-07-23,lead
127,2020-07-23,vice
115,2020-07-23,vice
218,2020-07-23,skip
38,2020-07-23,second
95,2020-07-24,vice
176,2020-07-24,skip
24,2020-07-24,lead
82,2020-07-24,second
82,2020-07-26,second
137,2020-07-26,skip
131,2020-07-26,vice
95,2020-07-26,skip
176,2020-07-26,vice
24,2020-07-26,lead
211,2020-07-26,second
174,2020-07-26,lead
73,2020-07-27,lead
54,2020-07-27,skip
219,2020-07-27,vice
210,2020-07-27,lead
67,2020-07-27,second
138,2020-07-27,second
197,2020-07-27,vice
62,2020-07-27,skip
141,2020-07-28,second
154,2020-07-28,skip
41,2020-07-28,lead
168,2020-07-28,vice
151,2020-08-01,vice
127,2020-08-01,second
111,2020-08-01,skip
144,2020-08-01,lead
81,2020-08-03,vice
104,2020-08-03,skip
226,2020-08-03,second
201,2020-08-03,lead
90,2020-08-04,skip
179,2020-08-04,vice
233,2020-08-04,lead
77,2020-08-04,second
17,2020-08-07,vice
144,2020-08-07,vice
111,2020-08-07,lead
136,2020-08-07,second
166,2020-08-07,lead
151,2020-08-07,second
14,2020-08-07,skip
127,2020-08-07,skip
147,2020-08-08,lead
198,2020-08-08,lead
48,2020-08-08,skip
226,2020-08-08,lead
50,2020-08-08,vice
60,2020-08-08,second
201,2020-08-08,skip
121,2020-08-08,vice
102,2020-08-08,second
215,2020-08-08,skip
104,2020-08-08,second
81,2020-08-08,vice
11,2020-08-09,vice
89,2020-08-09,skip
45,2020-08-09,lead
44,2020-08-09,second
197,2020-08-10,vice
59,2020-08-10,skip
138,2020-08-10,second
62,2020-08-10,lead
11,2020-08-11,lead
235,2020-08-11,second
45,2020-08-11,skip
44,2020-08-11,vice
77,2020-08-12,skip
73,2020-08-12,lead
219,2020-08-12,vice
67,2020-08-12,skip
90,2020-08-12,vice
233,2020-08-12,lead
179,2020-08-12,second
54,2020-08-12,second
117,2020-08-15,vice
79,2020-08-15,skip
33,2020-08-15,lead
123,2020-08-15,second
44,2020-08-18,lead
235,2020-08-18,skip
45,2020-08-18,vice
11,2020-08-18,second
217,2020-08-20,skip
231,2020-08-20,second
157,2020-08-20,lead
9,2020-08-20,second
74,2020-08-20,vice
107,2020-08-20,vice
147,2020-08-20,skip
102,2020-08-20,vice
58,2020-08-20,skip
121,2020-08-20,second
215,2020-08-20,lead
192,2020-08-20,lead
215,2020-08-21,skip
121,2020-08-21,second
147,2020-08-21,vice
102,2020-08-21,lead
113,2020-08-22,lead
230,2020-08-22,second
149,2020-08-22,skip
119,2020-08-22,second
124,2020-08-22,lead
202,2020-08-22,vice
227,2020-08-22,skip
190,2020-08-22,vice
174,2020-08-23,skip
131,2020-08-23,second
137,2020-08-23,vice
211,2020-08-23,lead
104,2020-08-24,vice
118,2020-08-24,lead
207,2020-08-24,second
228,2020-08-24,skip
201,2020-08-24,second
222,2020-08-24,vice
81,2020-08-24,skip
226,2020-08-24,lead
17,2020-08-26,skip
136,2020-08-26,second
191,2020-08-26,lead
166,2020-08-26,vice
58,2020-08-28,lead
192,2020-08-28,second
107,2020-08-28,vice
231,2020-08-28,skip
46,2020-08-29,skip
164,2020-08-29,lead
73,2020-08-29,lead
219,2020-08-29,second
67,2020-08-29,vice
54,2020-08-29,skip
140,2020-08-29,second
36,2020-08-29,vice
173,2020-08-31,skip
178,2020-08-31,lead
120,2020-08-31,second
96,2020-08-31,vice
205,2020-09-01,lead
145,2020-09-01,second
234,2020-09-01,vice
107,2020-09-01,skip
197,2020-09-01,skip
58,2020-09-01,second
192,2020-09-01,lead
231,2020-09-01,vice
149,2020-09-04,skip
230,2020-09-04,second
113,2020-09-04,vice
190,2020-09-04,lead
38,2020-09-05,second
182,2020-09-05,lead
218,2020-09-05,skip
115,2020-09-05,vice
144,2020-09-06,lead
151,2020-09-06,second
127,2020-09-06,skip
111,2020-09-06,vice
186,2020-09-07,vice
214,2020-09-07,skip
88,2020-09-07,lead
5,2020-09-07,second
199,2020-09-08,vice
154,2020-09-08,lead
108,2020-09-08,skip
168,2020-09-08,second
214,2020-09-10,vice
5,2020-09-10,skip
88,2020-09-10,second
186,2020-09-10,lead
131,2020-09-12,second
137,2020-09-12,vice
211,2020-09-12,lead
174,2020-09-12,skip
111,2020-09-15,skip
147,2020-09-15,skip
151,2020-09-15,second
241,2020-09-15,second
144,2020-09-15,lead
102,2020-09-15,lead
215,2020-09-15,vice
127,2020-09-15,vice
109,2020-09-16,skip
247,2020-09-16,lead
226,2020-09-16,second
36,2020-09-16,second
140,2020-09-16,lead
201,2020-09-16,vice
164,2020-09-16,vice
104,2020-09-16,skip
17,2020-09-17,lead
136,2020-09-17,skip
191,2020-09-17,second
145,2020-09-17,skip
10,2020-09-17,second
114,2020-09-17,vice
234,2020-09-17,lead
205,2020-09-17,vice
59,2020-09-26,lead
234,2020-09-26,vice
62,2020-09-26,skip
138,2020-09-26,second
115,2020-09-27,vice
38,2020-09-27,skip
182,2020-09-27,second
218,2020-09-27,lead
219,2020-09-28,lead
67,2020-09-28,vice
54,2020-09-28,second
56,2020-09-28,skip
33,2020-09-29,skip
123,2020-09-29,second
89,2020-09-29,second
9,2020-09-29,vice
74,2020-09-29,second
183,2020-09-29,lead
11,2020-09-29,lead
25,2020-09-29,lead
63,2020-09-29,vice
45,2020-09-29,vice
251,2020-09-29,skip
44,2020-09-29,skip
232,2020-09-30,skip
101,2020-09-30,vice
177,2020-09-30,lead
258,2020-09-30,second
58,2020-10-01,lead
192,2020-10-01,second
231,2020-10-01,vice
107,2020-10-01,skip
231,2020-10-02,skip
192,2020-10-02,vice
107,2020-10-02,lead
58,2020-10-02,second
22,2020-10-05,skip
259,2020-10-05,lead
138,2020-10-05,skip
197,2020-10-05,second
185,2020-10-05,second
72,2020-10-05,vice
10,2020-10-05,vice
145,2020-10-05,lead
251,2020-10-06,second
9,2020-10-06,skip
217,2020-10-06,lead
157,2020-10-06,vice
259,2020-10-08,lead
164,2020-10-08,second
46,2020-10-08,skip
109,2020-10-08,lead
22,2020-10-08,skip
159,2020-10-08,vice
72,2020-10-08,second
221,2020-10-08,vice
