id,birthdate,age,category,facility_id
1,2003-04-26,19,junior,1.0
2,2006-04-11,16,junior,1.0
3,2006-04-02,16,junior,1.0
4,2006-08-27,16,junior,1.0
5,2004-03-28,18,junior,1.0
6,2011-12-20,10,junior,1.0
7,2015-02-21,7,junior,1.0
8,2009-01-01,13,junior,1.0
9,2002-08-23,20,junior,1.0
10,2014-11-25,8,junior,1.0
11,2012-01-17,10,junior,1.0
12,2004-11-05,18,junior,1.0
13,2003-06-22,19,junior,1.0
14,2006-09-03,16,junior,1.0
15,2006-05-06,16,junior,1.0
16,2012-12-20,9,junior,1.0
17,2009-06-05,13,junior,1.0
18,2012-07-23,10,junior,1.0
19,2006-03-06,16,junior,1.0
20,2007-12-03,14,junior,1.0
21,2010-09-18,12,junior,2.0
22,2008-07-30,14,junior,2.0
23,2001-06-14,21,junior,2.0
24,2009-03-24,13,junior,2.0
25,2011-07-31,11,junior,2.0
26,2014-05-07,8,junior,2.0
27,2007-08-24,15,junior,2.0
28,2004-02-03,18,junior,2.0
29,2010-04-05,12,junior,2.0
30,2013-03-14,9,junior,2.0
31,2002-05-22,20,junior,2.0
32,2007-09-29,15,junior,2.0
33,2007-01-06,15,junior,2.0
34,2001-11-16,21,junior,2.0
35,2015-02-12,7,junior,2.0
36,2011-06-17,11,junior,2.0
37,2011-06-09,11,junior,2.0
38,2014-08-17,8,junior,2.0
39,2001-06-05,21,junior,2.0
40,2002-03-03,20,junior,2.0
41,2014-12-11,7,junior,2.0
42,2001-10-14,21,junior,2.0
43,2008-03-29,14,junior,2.0
44,2011-07-10,11,junior,2.0
45,2002-01-29,20,junior,2.0
46,2010-04-20,12,junior,2.0
47,2014-12-22,7,junior,2.0
48,2013-10-27,9,junior,2.0
49,2005-10-17,17,junior,2.0
50,2001-06-21,21,junior,2.0
51,2009-08-02,13,junior,2.0
52,2014-03-17,8,junior,2.0
53,2010-10-30,12,junior,2.0
54,2003-07-22,19,junior,2.0
55,2012-10-26,10,junior,2.0
56,2010-03-04,12,junior,2.0
57,2004-05-30,18,junior,2.0
58,2009-05-28,13,junior,2.0
59,2009-12-28,12,junior,2.0
60,2013-07-23,9,junior,2.0
61,2004-07-25,18,junior,2.0
62,2015-02-27,7,junior,2.0
63,2010-03-08,12,junior,3.0
64,2001-06-09,21,junior,3.0
65,2014-05-31,8,junior,3.0
66,2011-03-13,11,junior,3.0
67,2002-03-17,20,junior,3.0
68,2001-06-01,21,junior,3.0
69,2014-07-22,8,junior,3.0
70,2013-03-25,9,junior,3.0
71,2005-11-19,17,junior,3.0
72,2005-03-29,17,junior,3.0
73,2013-10-23,9,junior,3.0
74,2010-05-06,12,junior,3.0
75,2012-12-12,9,junior,3.0
76,2003-10-30,19,junior,3.0
77,2001-10-13,21,junior,3.0
78,2007-01-28,15,junior,3.0
79,2007-02-17,15,junior,3.0
80,2002-07-20,20,junior,4.0
81,2014-03-11,8,junior,4.0
82,2001-06-24,21,junior,4.0
83,2004-09-20,18,junior,4.0
84,2008-11-02,14,junior,4.0
85,2011-06-24,11,junior,4.0
86,2007-09-22,15,junior,4.0
87,2005-08-22,17,junior,4.0
88,2005-06-16,17,junior,4.0
89,2007-03-21,15,junior,4.0
90,2003-08-15,19,junior,4.0
91,2014-03-19,8,junior,4.0
92,2011-07-20,11,junior,4.0
93,2007-03-30,15,junior,4.0
94,2006-11-05,16,junior,4.0
95,2009-11-22,13,junior,4.0
96,2005-12-07,16,junior,4.0
97,2012-01-21,10,junior,4.0
98,2013-12-23,8,junior,4.0
99,2008-03-18,14,junior,4.0
100,2001-09-03,21,junior,4.0
101,2012-03-18,10,junior,4.0
102,2007-06-20,15,junior,4.0
103,2011-11-13,11,junior,4.0
104,2013-02-27,9,junior,4.0
105,2007-10-29,15,junior,4.0
106,2014-09-15,8,junior,4.0
107,2010-05-31,12,junior,4.0
108,2003-03-15,19,junior,4.0
109,2007-04-07,15,junior,4.0
110,2003-01-13,19,junior,4.0
111,2004-09-15,18,junior,4.0
112,2005-09-26,17,junior,4.0
113,2007-08-29,15,junior,5.0
114,2001-12-17,20,junior,5.0
115,2006-02-13,16,junior,5.0
116,2007-03-30,15,junior,5.0
117,2011-01-23,11,junior,5.0
118,2007-10-22,15,junior,5.0
119,2009-03-17,13,junior,5.0
120,2007-02-01,15,junior,5.0
121,2013-09-19,9,junior,5.0
122,2010-02-21,12,junior,5.0
123,2006-01-06,16,junior,5.0
124,2011-11-14,11,junior,5.0
125,2013-09-16,9,junior,5.0
126,2002-11-06,20,junior,5.0
127,2002-05-12,20,junior,5.0
128,2011-12-03,10,junior,5.0
129,2004-10-16,18,junior,5.0
130,2007-07-02,15,junior,5.0
131,2002-10-23,20,junior,5.0
132,2001-06-19,21,junior,5.0
133,2007-11-30,14,junior,5.0
134,2007-03-13,15,junior,5.0
135,2011-02-05,11,junior,5.0
136,2002-02-02,20,junior,5.0
137,2013-05-20,9,junior,5.0
138,2010-09-13,12,junior,5.0
139,2009-11-08,13,junior,5.0
140,2010-01-05,12,junior,5.0
141,2001-10-09,21,junior,5.0
142,2011-11-27,11,junior,5.0
143,2005-04-09,17,junior,5.0
144,2009-07-28,13,junior,5.0
145,2006-02-28,16,junior,5.0
146,2014-12-05,7,junior,5.0
147,2009-02-28,13,junior,5.0
148,2009-08-30,13,junior,5.0
149,2014-06-27,8,junior,5.0
150,1975-12-09,46,adult,1.0
151,1993-05-08,29,adult,1.0
152,1989-02-28,33,adult,1.0
153,1997-10-27,25,adult,1.0
154,1989-01-13,33,adult,1.0
155,1977-08-21,45,adult,1.0
156,1991-05-28,31,adult,1.0
157,1999-06-14,23,adult,1.0
158,1974-09-26,48,adult,1.0
159,1975-02-24,47,adult,1.0
160,1990-03-10,32,adult,1.0
161,1981-07-17,41,adult,1.0
162,1981-01-29,41,adult,1.0
163,1975-07-28,47,adult,1.0
164,1994-09-10,28,adult,1.0
165,1981-12-29,40,adult,1.0
166,1980-07-28,42,adult,1.0
167,1972-11-24,50,adult,1.0
168,1997-10-11,25,adult,1.0
169,1983-12-19,38,adult,1.0
170,1991-07-09,31,adult,1.0
171,1992-05-21,30,adult,1.0
172,1989-07-02,33,adult,1.0
173,1997-06-06,25,adult,1.0
174,1994-10-24,28,adult,1.0
175,1980-05-16,42,adult,1.0
176,1997-05-12,25,adult,2.0
177,1996-04-29,26,adult,2.0
178,1995-08-22,27,adult,2.0
179,1994-03-10,28,adult,2.0
180,1972-12-10,49,adult,2.0
181,1985-08-03,37,adult,2.0
182,1988-02-04,34,adult,2.0
183,1999-12-05,22,adult,2.0
184,1980-11-26,42,adult,2.0
185,1986-10-22,36,adult,2.0
186,1974-10-13,48,adult,2.0
187,1985-08-12,37,adult,2.0
188,1993-04-29,29,adult,2.0
189,1986-01-20,36,adult,2.0
190,1988-09-29,34,adult,2.0
191,1982-08-12,40,adult,2.0
192,1974-04-05,48,adult,2.0
193,2000-02-03,22,adult,2.0
194,1972-07-11,50,adult,2.0
195,1975-10-29,47,adult,2.0
196,1985-02-14,37,adult,2.0
197,1989-11-27,33,adult,2.0
198,1975-06-05,47,adult,2.0
199,1985-06-25,37,adult,3.0
200,1997-09-21,25,adult,3.0
201,1989-12-10,32,adult,3.0
202,1973-03-21,49,adult,3.0
203,1989-07-04,33,adult,3.0
204,1993-07-24,29,adult,3.0
205,1980-12-06,41,adult,3.0
206,1990-03-07,32,adult,3.0
207,1999-08-25,23,adult,3.0
208,1972-08-14,50,adult,3.0
209,1983-11-08,39,adult,3.0
210,1992-02-12,30,adult,3.0
211,1997-11-17,25,adult,3.0
212,1987-07-26,35,adult,3.0
213,1997-06-08,25,adult,3.0
214,1977-04-18,45,adult,3.0
215,1973-10-29,49,adult,3.0
216,1983-01-31,39,adult,3.0
217,1985-05-18,37,adult,3.0
218,1985-06-02,37,adult,3.0
219,1978-07-06,44,adult,3.0
220,1993-04-06,29,adult,3.0
221,1980-06-24,42,adult,3.0
222,1998-06-03,24,adult,3.0
223,1975-01-20,47,adult,3.0
224,1991-07-30,31,adult,3.0
225,1988-07-13,34,adult,3.0
226,1979-12-13,42,adult,3.0
227,1989-09-28,33,adult,3.0
228,1997-01-16,25,adult,3.0
229,1996-07-31,26,adult,3.0
