person_id,date,financial_flow
0,2019-06-06,20.0
1,2019-06-09,55.0
5,2019-06-18,20.0
6,2019-06-19,20.0
7,2019-06-20,20.0
9,2019-06-23,20.0
10,2019-06-25,55.0
2,2019-06-28,-3968.61
3,2019-06-28,-2897.55
4,2019-06-28,-1795.94
8,2019-06-28,-1077.56
11,2019-06-29,55.0
0,2019-07-06,20.0
13,2019-07-06,55.0
14,2019-07-08,20.0
1,2019-07-09,55.0
17,2019-07-10,20.0
18,2019-07-10,55.0
20,2019-07-17,20.0
5,2019-07-18,20.0
6,2019-07-19,20.0
7,2019-07-20,20.0
21,2019-07-20,55.0
9,2019-07-23,20.0
22,2019-07-23,55.0
23,2019-07-24,55.0
10,2019-07-25,55.0
24,2019-07-27,20.0
25,2019-07-28,20.0
11,2019-07-29,55.0
26,2019-07-29,55.0
2,2019-07-31,-4436.95
3,2019-07-31,-5543.14
4,2019-07-31,-3591.87
8,2019-07-31,-3123.37
12,2019-07-31,-1354.84
15,2019-07-31,-1354.84
16,2019-07-31,-4535.3
19,2019-07-31,-978.5
27,2019-08-02,55.0
0,2019-08-06,20.0
13,2019-08-06,55.0
28,2019-08-07,55.0
14,2019-08-08,20.0
1,2019-08-09,55.0
17,2019-08-10,20.0
18,2019-08-10,55.0
29,2019-08-11,20.0
33,2019-08-15,55.0
35,2019-08-16,20.0
20,2019-08-17,20.0
36,2019-08-17,55.0
5,2019-08-18,20.0
38,2019-08-18,55.0
6,2019-08-19,20.0
7,2019-08-20,20.0
21,2019-08-20,55.0
39,2019-08-20,20.0
9,2019-08-23,20.0
22,2019-08-23,55.0
23,2019-08-24,55.0
10,2019-08-25,55.0
41,2019-08-25,20.0
24,2019-08-27,20.0
42,2019-08-27,20.0
25,2019-08-28,20.0
11,2019-08-29,55.0
26,2019-08-29,55.0
2,2019-08-30,-5669.44
3,2019-08-30,-5795.1
4,2019-08-30,-3591.87
8,2019-08-30,-2449.0
12,2019-08-30,-1731.19
15,2019-08-30,-1495.12
16,2019-08-30,-4214.62
19,2019-08-30,-1731.19
30,2019-08-30,-1180.36
31,2019-08-30,-1935.5
32,2019-08-30,-1659.0
34,2019-08-30,-2239.24
37,2019-08-30,-1839.86
40,2019-08-30,-1469.4
43,2019-08-30,-414.75
44,2019-08-30,55.0
45,2019-08-31,55.0
27,2019-09-02,55.0
46,2019-09-02,55.0
48,2019-09-05,20.0
0,2019-09-06,20.0
13,2019-09-06,55.0
28,2019-09-07,55.0
14,2019-09-08,20.0
50,2019-09-08,20.0
1,2019-09-09,55.0
17,2019-09-10,20.0
18,2019-09-10,55.0
29,2019-09-11,20.0
54,2019-09-13,55.0
33,2019-09-15,55.0
55,2019-09-15,20.0
56,2019-09-15,55.0
35,2019-09-16,20.0
