person_id,team_name,position,birthdate,join_date,retire_date
0,Super Lords,,2010-05-11,2019-06-06,2019-12-29
1,Game of Stones,,1991-01-24,2019-06-09,2020-02-22
2,,medic,1968-02-09,2019-06-11,
3,,director,1974-12-06,2019-06-15,
4,,coach,2001-04-28,2019-06-16,
5,Super Lords,,2006-02-18,2019-06-18,
6,Ice Huskies,,2006-09-10,2019-06-19,
7,Curlers Terriers,,2011-06-29,2019-06-20,
8,,coach,1983-07-13,2019-06-21,
9,Stone Mariners,,2002-09-02,2019-06-23,2021-07-22
10,Ice Sabres,,1982-07-31,2019-06-25,2021-06-01
11,Cold Colts,,1974-10-26,2019-06-29,
12,,cleaner,1998-01-08,2019-07-06,2019-10-29
13,Toronto Eagles,,1987-09-26,2019-07-06,
14,Montreal Lasers,,2011-08-13,2019-07-08,
15,,cleaner,1968-06-16,2019-07-08,
16,,director,1996-02-07,2019-07-08,2020-03-24
17,Montreal Lasers,,2005-06-30,2019-07-10,2020-10-16
18,Ice Bulls,,1991-03-14,2019-07-10,
19,,cleaner,1997-04-12,2019-07-15,
20,Baby Broomers,,2006-04-18,2019-07-17,
21,Calgary Rockets,,1992-10-24,2019-07-20,
22,Vancouver Fury,,1983-01-02,2019-07-23,2020-11-14
23,Vancouver Islanders,,1978-09-17,2019-07-24,2020-07-06
24,Ottawa Greys,,2012-02-16,2019-07-27,
25,Stone Mariners,,2004-08-07,2019-07-28,2020-11-28
26,Calgary Cubs,,1980-04-15,2019-07-29,
27,Montreal Raiders,,1975-12-31,2019-08-02,
28,Cold Huskies,,1973-12-27,2019-08-07,
29,Montreal Vipers,,2006-11-04,2019-08-11,
30,,cleaner,1982-04-02,2019-08-11,
31,,manager,1984-04-17,2019-08-13,
32,,manager,1963-05-21,2019-08-15,
33,Calgary Fleur-de-Lys,,1996-01-13,2019-08-15,
34,,psychologist,1988-02-17,2019-08-16,2020-10-03
35,Toronto Rockets,,2008-12-23,2019-08-16,
36,Montreal Bruins,,1983-03-29,2019-08-17,
37,,accountant,1976-08-27,2019-08-18,
38,Montreal Raiders,,1991-12-10,2019-08-18,
39,Calgary Metros,,2005-04-15,2019-08-20,
40,,coach,1969-05-03,2019-08-20,
41,Super Salsa,,2004-10-26,2019-08-25,
42,Ottawa Kiltys,,2002-03-04,2019-08-27,
43,,manager,1995-08-09,2019-08-28,
44,Cold Colts,,1983-09-07,2019-08-30,
45,Cold Colts,,1996-06-11,2019-08-31,
46,Montreal Bruins,,1980-02-28,2019-09-02,
47,,manager,1964-07-09,2019-09-03,2020-02-24
48,Stone Timberwolves,,2009-01-01,2019-09-05,
49,,cleaner,1968-05-21,2019-09-06,
50,Stone Timberwolves,,2006-07-21,2019-09-08,
51,,cleaner,1982-06-22,2019-09-08,
52,,manager,1995-07-03,2019-09-10,2020-03-25
53,,cleaner,1979-12-18,2019-09-12,2020-11-23
54,Calgary Bruins,,1976-05-16,2019-09-13,2020-11-08
55,Ice Unicorns,,2006-06-28,2019-09-15,
56,Calgary Bruins,,1973-09-10,2019-09-15,
57,,cleaner,1980-02-02,2019-09-20,2021-06-26
58,Game of Stones,,1980-07-29,2019-09-22,2022-02-15
59,Ice Sabres,,1994-07-25,2019-09-24,2020-10-15
60,Stone Timberwolves,,2004-09-06,2019-09-24,
61,Calgary Rockets,,1979-08-26,2019-09-28,
62,Ice Sabres,,1996-05-10,2019-09-30,
63,Calgary Fleur-de-Lys,,1979-08-11,2019-09-30,
64,,medic,1982-02-22,2019-10-02,
65,Broom Hawks,,2010-09-02,2019-10-03,
66,Cold Huskies,,1994-11-23,2019-10-03,
67,Calgary Bruins,,1978-11-21,2019-10-05,2021-07-24
68,Baby Broomers,,2006-06-30,2019-10-08,
69,Super Atlantics,,2003-01-04,2019-10-08,
70,,medic,1974-03-15,2019-10-09,
71,,director,1967-05-15,2019-10-10,
72,Vancouver Fury,,1989-08-14,2019-10-15,
73,Calgary Bruins,,1996-05-13,2019-10-20,
74,Stone Mariners,,2008-12-16,2019-10-25,2021-05-22
75,,manager,1964-09-25,2019-10-26,
76,Toronto Penguins,,1997-05-26,2019-10-29,2019-11-16
77,Toronto Penguins,,1986-12-15,2019-10-29,2021-04-21
78,Super Atlantics,,2004-10-23,2019-11-02,
79,Calgary Fleur-de-Lys,,1987-03-08,2019-11-06,2021-02-17
80,,manager,1961-10-11,2019-11-07,2020-07-07
81,Cold Travelways,,1994-08-22,2019-11-07,2020-09-15
82,Ottawa Greys,,2008-03-16,2019-11-09,2021-08-12
83,,manager,1968-08-03,2019-11-10,
84,,coach,1971-01-24,2019-11-12,2019-12-26
85,Ice Unicorns,,2004-03-31,2019-11-13,
86,,manager,1992-05-19,2019-11-13,
87,,manager,1978-12-24,2019-11-14,2020-01-01
88,Super Lords,,2010-01-31,2019-11-18,
89,Cold Colts,,1974-07-19,2019-11-20,
90,Toronto Penguins,,1982-10-18,2019-11-22,
91,Toronto Olympics,,2009-03-17,2019-11-25,
92,Montreal Braves,,2002-05-09,2019-11-28,
93,Calgary Metros,,2011-12-17,2019-11-28,
94,,coach,1976-10-08,2019-11-28,
95,Ottawa Greys,,2007-02-16,2019-11-29,
96,Broom Mets,,2002-04-07,2019-11-30,2021-12-05
97,,manager,1991-11-19,2019-12-04,
98,,psychologist,1989-02-01,2019-12-04,2022-05-11
99,Toronto Rockets,,2004-09-27,2019-12-05,2020-12-03
100,,accountant,1983-12-17,2019-12-05,
101,Ice Cougars,,1981-09-21,2019-12-05,
102,Cold Islanders,,2008-06-28,2019-12-06,2022-01-20
103,,manager,1974-06-22,2019-12-10,
104,Cold Travelways,,1987-08-29,2019-12-12,
105,,director,1995-09-04,2019-12-13,
106,,coach,1981-02-07,2019-12-13,2021-04-14
107,Game of Stones,,1983-03-04,2019-12-14,2021-08-20
108,Super Salsa,,2002-03-27,2019-12-18,
109,Montreal Bruins,,1972-08-11,2019-12-19,2021-10-04
110,Cold Islanders,,2005-04-09,2019-12-24,2020-07-22
111,Cold Chinooks,,2004-04-04,2019-12-25,
112,,manager,1988-07-11,2019-12-26,
113,Vancouver Islanders,,1993-01-22,2019-12-29,2021-05-04
114,Montreal Lasers,,2011-05-13,2020-01-02,
115,Montreal Raiders,,1987-12-23,2020-01-08,
116,,cleaner,1971-01-25,2020-01-09,
117,Calgary Fleur-de-Lys,,1976-05-01,2020-01-12,
118,Ottawa Victorias,,1988-09-28,2020-01-12,2021-09-04
119,Calgary Cougars,,1998-04-25,2020-01-13,2022-04-08
120,Broom Mets,,2012-06-19,2020-01-13,
121,Cold Islanders,,2006-09-14,2020-01-14,
122,,manager,1958-10-30,2020-01-15,2020-04-09
123,Calgary Fleur-de-Lys,,1975-10-12,2020-01-16,
124,Calgary Cougars,,1992-05-17,2020-01-17,2021-12-27
125,,cleaner,1983-12-21,2020-01-18,
126,,psychologist,1985-01-27,2020-01-23,2022-03-13
127,Cold Chinooks,,2012-03-09,2020-01-31,
128,,coach,1997-11-20,2020-02-01,
129,,cleaner,1984-02-16,2020-02-04,
130,,director,1978-09-09,2020-02-05,2020-11-02
131,Ice Dodgers,,2005-08-27,2020-02-07,
132,,manager,1964-06-15,2020-02-07,
133,,manager,1990-04-30,2020-02-09,
134,,medic,1967-02-04,2020-02-14,2021-05-29
135,,coach,1992-08-14,2020-02-16,
136,Montreal Lasers,,2004-01-13,2020-02-17,
137,Ice Dodgers,,2002-03-11,2020-02-17,
138,Ice Sabres,,1976-10-14,2020-02-18,
139,,cleaner,1985-09-15,2020-02-18,
140,Montreal Bruins,,1986-03-21,2020-02-21,2022-01-11
141,Super Salsa,,2011-03-30,2020-02-25,
142,Toronto Eagles,,1986-04-07,2020-02-25,
143,Montreal Vipers,,2002-07-31,2020-02-27,
144,Cold Chinooks,,2008-01-16,2020-02-27,
145,Ice Sabres,,1986-09-07,2020-02-29,
146,,manager,1966-10-15,2020-03-02,
147,Cold Islanders,,2007-06-07,2020-03-04,
148,Montreal Vipers,,2012-08-23,2020-03-04,2020-04-04
149,Vancouver Islanders,,1972-06-17,2020-03-04,
150,,cleaner,1996-05-01,2020-03-04,
151,Cold Chinooks,,2003-07-10,2020-03-09,
152,Montreal Braves,,2004-08-06,2020-03-11,
153,Rolling Stones,,2004-06-26,2020-03-14,
154,Super Salsa,,2011-06-26,2020-03-16,2021-12-26
155,Toronto Eagles,,1986-02-20,2020-03-17,
156,Stone Timberwolves,,2002-07-19,2020-03-17,
157,Stone Mariners,,2002-12-19,2020-03-17,
158,,manager,1984-06-12,2020-03-18,
159,Vancouver Fury,,1996-12-22,2020-03-18,
160,,cleaner,1990-08-03,2020-03-18,
161,,cleaner,1989-10-12,2020-03-19,2020-10-17
162,,coach,1986-09-18,2020-03-19,
163,Montreal Lasers,,2012-02-07,2020-03-21,2020-08-08
164,Montreal Bruins,,1995-04-29,2020-03-24,
165,,psychologist,1968-11-28,2020-03-25,
166,Montreal Lasers,,2010-09-11,2020-03-26,
167,,manager,1990-06-09,2020-03-26,
168,Super Salsa,,2004-11-04,2020-03-27,
169,Ice Bulls,,1999-02-20,2020-03-27,2022-05-08
170,,manager,1977-02-05,2020-03-27,
171,,accountant,1960-07-04,2020-03-28,
172,Cold Huskies,,1991-02-03,2020-03-29,2022-01-27
173,Broom Mets,,2004-02-23,2020-03-30,
174,Ice Dodgers,,2010-12-18,2020-04-06,
175,Ottawa Kiltys,,2012-01-27,2020-04-09,2021-08-21
176,Ottawa Greys,,2004-02-14,2020-04-12,
177,Ice Cougars,,1989-11-01,2020-04-13,
178,Broom Mets,,2011-04-06,2020-04-14,
179,Toronto Penguins,,1995-02-14,2020-04-14,2021-09-22
180,Toronto Olympics,,2009-09-18,2020-04-16,
181,,psychologist,1982-02-09,2020-04-20,
182,Montreal Raiders,,1981-02-17,2020-05-01,
183,Calgary Fleur-de-Lys,,1973-11-09,2020-05-02,
184,Calgary Bruins,,1975-10-13,2020-05-02,2020-07-19
185,Vancouver Fury,,1994-11-19,2020-05-03,
186,Super Lords,,2006-03-04,2020-05-04,2020-10-21
187,,manager,1959-12-31,2020-05-04,
188,Broom Mets,,2004-01-13,2020-05-08,
189,,manager,1965-07-11,2020-05-12,
190,Vancouver Islanders,,1997-08-05,2020-05-13,
191,Montreal Lasers,,2008-07-11,2020-05-15,2022-02-04
192,Game of Stones,,1987-08-08,2020-05-15,
193,,coach,1995-12-13,2020-05-16,2022-03-08
194,Montreal Braves,,2012-01-06,2020-05-16,
195,,coach,1982-11-20,2020-05-19,2021-11-19
196,,manager,1975-07-06,2020-05-21,
197,Ice Sabres,,1982-08-30,2020-05-22,
198,Stone Timberwolves,,2010-08-10,2020-05-26,
199,Super Salsa,,2008-07-11,2020-05-30,
200,Calgary Rockets,,1977-04-24,2020-05-31,
201,Cold Travelways,,1979-11-19,2020-06-03,
202,Calgary Cougars,,1974-06-05,2020-06-05,
203,,manager,1995-11-02,2020-06-05,
204,,cleaner,2000-12-07,2020-06-05,
205,Ice Sabres,,1988-01-03,2020-06-07,
206,,manager,1983-07-13,2020-06-10,
207,Ottawa Victorias,,1990-07-11,2020-06-13,
208,Rolling Stones,,2002-07-02,2020-06-15,
209,,manager,1983-03-16,2020-06-18,
210,Ice Sabres,,1981-05-01,2020-06-19,
211,Ice Dodgers,,2004-12-27,2020-06-21,
212,,cleaner,1991-06-06,2020-06-23,
213,,psychologist,1963-08-06,2020-06-25,
214,Super Lords,,2002-06-02,2020-06-26,
215,Cold Islanders,,2011-07-11,2020-06-26,
216,Toronto Penguins,,1991-02-02,2020-07-01,2020-08-01
217,Stone Mariners,,2010-12-29,2020-07-02,2021-11-18
218,Montreal Raiders,,1975-04-07,2020-07-06,
219,Calgary Bruins,,1994-03-02,2020-07-10,
220,Ottawa Kiltys,,2004-02-27,2020-07-11,
221,Montreal Bruins,,1984-09-07,2020-07-13,
222,Ottawa Victorias,,1987-05-24,2020-07-13,
223,,cleaner,1979-03-08,2020-07-13,
224,Calgary Cubs,,1975-12-30,2020-07-15,
225,,coach,1968-07-18,2020-07-16,2021-05-09
226,Cold Travelways,,1984-11-07,2020-07-17,
227,Calgary Cougars,,1999-05-23,2020-07-18,
228,Ottawa Victorias,,1998-08-30,2020-07-19,2022-03-26
229,,manager,1966-12-17,2020-07-21,2021-02-04
230,Vancouver Islanders,,1993-12-05,2020-07-23,
231,Game of Stones,,1992-07-14,2020-07-24,
232,Ice Cougars,,1995-07-10,2020-07-25,2021-01-27
233,Toronto Penguins,,1998-06-15,2020-07-26,
234,Ice Sabres,,1995-03-30,2020-08-01,
235,Cold Colts,,1974-03-25,2020-08-02,
236,,psychologist,1986-12-03,2020-08-06,2022-03-17
237,,coach,1967-10-31,2020-08-08,
238,,cleaner,1992-10-21,2020-08-14,
239,,cleaner,1978-07-03,2020-08-20,
240,,psychologist,1969-11-20,2020-08-23,2020-10-20
241,Cold Islanders,,2010-02-06,2020-08-24,
242,Broom Hawks,,2009-07-20,2020-08-25,
243,,psychologist,1989-02-08,2020-08-26,
244,Ice Huskies,,2008-05-28,2020-08-27,
245,Stone Mariners,,2008-08-08,2020-08-30,
246,,coach,2002-05-14,2020-09-01,
247,Cold Travelways,,1974-04-03,2020-09-04,
248,,coach,1976-10-01,2020-09-05,
